si,pga,x,y,z,time
0.0,0.0,0.0,-4.0,5.0,339568
0.0,0.0,4.0,0.0,1.0,339592
0.0,0.0,-4.0,16.0,-7.0,339615
0.0,0.0,-4.0,10.0,21.0,339638
0.0,0.0,-14.0,2.0,-23.0,339662
0.0,0.0,0.0,6.0,5.0,339685
0.0,0.0,-12.0,6.0,-1.0,339708
0.0,0.0,10.0,-8.0,-1.0,339731
0.0,0.0,16.0,16.0,1.0,339754
0.0,0.0,8.0,0.0,-1.0,339777
0.0,0.0,-2.0,12.0,23.0,339800
0.0,0.0,-6.0,4.0,-15.0,339823
0.0,0.0,8.0,2.0,7.0,339847
0.0,0.0,8.0,0.0,7.0,339870
0.0,0.0,-14.0,8.0,3.0,339893
0.0,0.0,-6.0,-16.0,-15.0,339917
0.0,0.0,4.0,-12.0,25.0,339940
0.0,0.0,4.0,6.0,25.0,339963
0.0,0.0,6.0,4.0,23.0,339986
0.0,0.0,-2.0,2.0,7.0,340009
0.0,0.0,2.0,6.0,-9.0,340032
0.0,0.0,12.0,-10.0,3.0,340055
0.0,0.0,4.0,8.0,-9.0,340078
0.0,0.0,-20.0,14.0,11.0,340101
0.0,0.0,-6.0,4.0,15.0,340125
0.0,0.0,4.0,-6.0,-9.0,340148
0.0,0.0,2.0,8.0,-13.0,340171
0.0,0.0,-16.0,6.0,25.0,340195
0.0,0.0,-12.0,0.0,7.0,340218
0.0,0.0,8.0,-4.0,33.0,340241
0.0,0.0,-10.0,8.0,1.0,340264
0.0,0.0,4.0,8.0,1.0,340288
0.0,0.0,-4.0,10.0,7.0,340311
0.0,0.0,-6.0,-22.0,-17.0,340335
0.0,0.0,-10.0,6.0,13.0,340358
0.0,0.0,10.0,-4.0,-13.0,340381
0.0,0.0,14.0,8.0,31.0,340404
0.0,0.0,-8.0,4.0,-1.0,340428
0.0,0.0,-4.0,-4.0,3.0,340451
0.0,0.0,4.0,8.0,7.0,340474
0.0,0.0,-14.0,-2.0,-3.0,340497
0.0,0.0,-6.0,10.0,11.0,340520
0.0,0.0,0.0,10.0,19.0,340543
0.0,0.0,8.0,10.0,11.0,340566
0.0,0.0,-2.0,-2.0,-3.0,340589
0.0,0.0,12.0,16.0,17.0,340612
0.0,0.0,2.0,14.0,11.0,340635
0.0,0.0,-10.0,14.0,-25.0,340658
0.0,0.0,-8.0,-24.0,1.0,340681
0.0,0.0,-10.0,-6.0,-3.0,340704
0.0,0.0,-2.0,4.0,-7.0,340728
0.0,0.0,-8.0,2.0,3.0,340751
0.0,0.0,4.0,10.0,17.0,340774
0.0,0.0,10.0,8.0,-1.0,340797
0.0,0.0,-8.0,26.0,-3.0,340820
0.0,0.0,4.0,16.0,-15.0,340843
0.0,0.0,8.0,-18.0,9.0,340866
0.0,0.0,6.0,4.0,-11.0,340889
