si,pga,x,y,z,time
0.0,0.0,6.0,34.0,-5.0,107367
0.0,0.0,4.0,-6.0,5.0,107432
0.0,0.0,-6.0,4.0,3.0,107498
0.0,0.0,0.0,2.0,1.0,107563
0.0,0.0,0.0,14.0,-1.0,107649
0.0,0.0,0.0,12.0,29.0,107672
0.0,0.0,-8.0,10.0,7.0,107696
0.0,0.0,12.0,2.0,31.0,107719
0.0,0.0,2.0,-14.0,5.0,107743
0.0,0.0,20.0,-16.0,-5.0,107767
0.0,0.0,8.0,-8.0,-17.0,107790
0.0,0.0,2.0,8.0,3.0,107813
0.0,0.0,6.0,28.0,25.0,107837
0.0,0.0,-4.0,0.0,-17.0,107860
0.0,0.0,18.0,0.0,-11.0,107903
0.0,0.0,8.0,-8.0,13.0,107927
0.0,0.0,-4.0,-8.0,-1.0,107950
0.0,0.0,0.0,12.0,-3.0,107974
0.0,0.0,0.0,18.0,7.0,107997
0.0,0.0,-4.0,14.0,-9.0,108021
0.0,0.0,4.0,-20.0,-11.0,108044
0.0,0.0,4.0,-18.0,23.0,108068
0.0,0.0,4.0,-10.0,11.0,108091
0.0,0.0,-10.0,-4.0,13.0,108114
0.0,0.0,8.0,20.0,-23.0,108138
0.0,0.0,8.0,22.0,25.0,108161
0.0,0.0,14.0,-2.0,-15.0,108184
0.0,0.0,10.0,-18.0,1.0,108228
0.0,0.0,2.0,-10.0,15.0,108251
0.0,0.0,-8.0,16.0,5.0,108274
0.0,0.0,-10.0,32.0,11.0,108298
0.0,0.0,4.0,18.0,9.0,108321
0.0,0.0,10.0,-6.0,1.0,108344
0.0,0.0,6.0,-10.0,-11.0,108367
0.0,0.0,14.0,-26.0,11.0,108391
0.0,0.0,4.0,0.0,-19.0,108414
0.0,0.0,4.0,4.0,5.0,108438
0.0,0.0,-2.0,4.0,11.0,108461
0.0,0.0,-6.0,20.0,9.0,108484
0.0,0.0,6.0,-20.0,-7.0,108508
0.0,0.0,8.0,-14.0,-3.0,108531
0.0,0.0,2.0,-4.0,-1.0,108554
0.0,0.0,-10.0,12.0,13.0,108577
0.0,0.0,2.0,2.0,1.0,108600
0.0,0.0,2.0,4.0,29.0,108623
0.0,0.0,6.0,-8.0,1.0,108647
0.0,0.0,6.0,-6.0,-21.0,108670
0.0,0.0,-16.0,-16.0,1.0,108693
0.0,0.0,0.0,-16.0,17.0,108716
0.0,0.0,-20.0,2.0,-27.0,108740
0.0,0.0,-18.0,16.0,-5.0,108763
0.0,0.0,-4.0,16.0,15.0,108786
0.0,0.0,2.0,6.0,-7.0,108809
0.0,0.0,16.0,-18.0,17.0,108832
0.0,0.0,-2.0,2.0,17.0,108876
0.0,0.0,-6.0,14.0,-11.0,108899
0.0,0.0,-16.0,-6.0,-3.0,108922
0.0,0.0,12.0,8.0,-3.0,108945
0.0,0.0,8.0,0.0,-19.0,108969
0.0,0.0,2.0,-4.0,15.0,108992
0.0,0.0,6.0,4.0,-1.0,109015
0.0,0.0,4.0,2.0,-13.0,109038
0.0,0.0,6.0,14.0,15.0,109061
0.0,0.0,-4.0,-12.0,-3.0,109084
0.0,0.0,-12.0,0.0,5.0,109107
0.0,0.0,0.0,4.0,31.0,109130
0.0,0.0,18.0,2.0,-9.0,109154
0.0,0.0,6.0,4.0,25.0,109177
0.0,0.0,-2.0,12.0,25.0,109200
0.0,0.0,2.0,16.0,9.0,109223
0.0,0.0,-8.0,18.0,9.0,109247
0.0,0.0,18.0,-22.0,1.0,109270
0.0,0.0,2.0,-8.0,-11.0,109293
0.0,0.0,0.0,-22.0,17.0,109316
0.0,0.0,10.0,22.0,-1.0,109339
0.0,0.0,0.0,12.0,-9.0,109363
0.0,0.0,-8.0,-14.0,9.0,109386
0.0,0.0,-6.0,4.0,27.0,109409
0.0,0.0,12.0,-12.0,-1.0,109432
0.0,0.0,0.0,-2.0,-1.0,109455
0.0,0.0,-12.0,4.0,-1.0,109479
0.0,0.0,-6.0,2.0,-11.0,109502
0.0,0.0,-2.0,22.0,1.0,109525
0.0,0.0,16.0,10.0,-1.0,109548
0.0,0.0,4.0,2.0,13.0,109571
0.0,0.0,0.0,6.0,-11.0,109594
0.0,0.0,10.0,-20.0,-27.0,109617
0.0,0.0,-14.0,-8.0,7.0,109640
0.0,0.0,-14.0,-2.0,-17.0,109664
0.0,0.0,6.0,-12.0,-15.0,109687
0.0,0.0,-10.0,14.0,-3.0,109710
0.0,0.0,8.0,8.0,13.0,109733
0.0,0.0,-8.0,-4.0,-7.0,109756
0.0,0.0,4.0,2.0,5.0,109779
0.0,0.0,6.0,12.0,-5.0,109802
0.0,0.0,2.0,-2.0,-7.0,109825
0.0,0.0,12.0,0.0,-9.0,109848
0.0,0.0,-10.0,20.0,5.0,109872
0.0,0.0,-4.0,4.0,1.0,109895
0.0,0.0,14.0,2.0,9.0,109918
0.0,0.0,14.0,-14.0,9.0,109942
0.0,0.0,8.0,-2.0,-13.0,109965
0.0,0.0,-16.0,-6.0,7.0,109988
0.0,0.0,4.0,-8.0,-3.0,110012
0.0,0.0,12.0,6.0,-7.0,110035
0.0,0.0,-14.0,8.0,15.0,110058
0.0,0.0,-10.0,-14.0,-7.0,110081
0.0,0.0,-22.0,-18.0,25.0,110104
0.0,0.0,18.0,2.0,11.0,110127
0.0,0.0,-2.0,2.0,27.0,110150
0.0,0.0,-14.0,-14.0,5.0,110174
0.0,0.0,4.0,-12.0,1.0,110460
0.0,0.0,-2.0,6.0,35.0,110525
0.0,0.0,26.0,-18.0,17.0,110590
0.0,0.0,24.0,18.0,13.0,110656
0.0,0.0,4.0,-2.0,-25.0,110721
0.0,0.0,-4.0,18.0,-29.0,110786
0.0,0.0,-10.0,16.0,23.0,110851
0.0,0.0,16.0,-2.0,-3.0,110917
0.0,0.0,2.0,16.0,21.0,110982
0.0,0.0,12.0,4.0,3.0,111067
0.0,0.0,10.0,6.0,13.0,111090
0.0,0.0,-12.0,16.0,-1.0,111113
0.0,0.0,-10.0,-54.0,-5.0,111137
0.0,0.0,26.0,20.0,-3.0,111160
0.0,0.0,-6.0,-20.0,-59.0,111184
0.0,0.0,-10.0,-12.0,31.0,111207
0.0,0.0,18.0,-34.0,-5.0,111231
0.0,0.0,88.0,-490.0,-59.0,111254
0.0,0.0,-24.0,-462.0,-229.0,111277
0.0,0.0,2.0,-90.0,-43.0,111321
0.0,0.0,12.0,-64.0,29.0,111344
0.0,0.0,14.0,-86.0,5.0,111367
0.0,0.0,2.0,4.0,23.0,111391
0.0,0.0,14.0,30.0,-17.0,111414
0.0,0.0,6.0,4.0,39.0,111437
0.0,0.0,28.0,74.0,11.0,111460
0.0,0.0,-22.0,-32.0,5.0,111483
0.0,0.0,6.0,72.0,29.0,111506
0.0,0.0,-44.0,-78.0,-7.0,111529
0.0,0.0,-40.0,12.0,29.0,111553
0.0,0.0,26.0,-14.0,21.0,111576
