si,pga,x,y,z,time
0.0,0.0,-8.0,0.0,15.0,39193
0.0,0.0,4.0,6.0,-21.0,39216
0.0,0.0,8.0,6.0,-5.0,39239
0.0,0.0,-12.0,8.0,-1.0,39262
0.0,0.0,0.0,-16.0,19.0,39285
0.0,0.0,6.0,4.0,3.0,39308
0.0,0.0,-2.0,6.0,-21.0,39331
0.0,0.0,8.0,14.0,5.0,39355
0.0,0.0,8.0,4.0,11.0,39378
0.0,0.0,4.0,-12.0,3.0,39401
0.0,0.0,-8.0,-6.0,3.0,39424
0.0,0.0,4.0,-8.0,-3.0,39448
0.0,0.0,-2.0,22.0,-11.0,39471
0.0,0.0,-4.0,-2.0,3.0,39494
0.0,0.0,-4.0,-2.0,13.0,39517
0.0,0.0,-6.0,12.0,1.0,39540
0.0,0.0,-4.0,0.0,-7.0,39564
0.0,0.0,0.0,0.0,7.0,39587
0.0,0.0,10.0,-2.0,-9.0,39610
0.0,0.0,0.0,6.0,3.0,39633
0.0,0.0,4.0,-10.0,7.0,39656
0.0,0.0,14.0,6.0,-7.0,39679
0.0,0.0,2.0,6.0,9.0,39702
0.0,0.0,2.0,-6.0,7.0,39725
0.0,0.0,24.0,-18.0,-1.0,39748
0.0,0.0,10.0,-18.0,-1.0,39772
0.0,0.0,2.0,-40.0,-1.0,39796
0.0,0.0,16.0,-22.0,-5.0,39819
0.0,0.0,4.0,-32.0,-17.0,39843
0.0,0.0,-10.0,20.0,9.0,39866
0.0,0.0,-12.0,0.0,7.0,39889
0.0,0.0,-26.0,16.0,-1.0,39912
0.0,0.0,-2.0,-28.0,-9.0,39936
0.0,0.0,-6.0,18.0,-11.0,39959
0.0,0.0,-24.0,-10.0,3.0,39982
0.0,0.0,8.0,10.0,9.0,40006
0.0,0.0,-16.0,30.0,-17.0,40029
0.0,0.0,4.0,2.0,13.0,40052
0.0,0.0,-14.0,14.0,1.0,40075
0.0,0.0,-16.0,-26.0,-1.0,40099
0.0,0.0,-8.0,0.0,-17.0,40122
0.0,0.0,-12.0,2.0,-17.0,40145
0.0,0.0,26.0,-40.0,11.0,40168
0.0,0.0,10.0,-14.0,-17.0,40191
0.0,0.0,0.0,-16.0,-25.0,40215
0.0,0.0,-2.0,-18.0,15.0,40238
0.0,0.0,8.0,-6.0,-9.0,40261
0.0,0.0,-2.0,-14.0,17.0,40285
0.0,0.0,-6.0,34.0,-3.0,40308
0.0,0.0,-14.0,8.0,9.0,40331
0.0,0.0,2.0,14.0,11.0,40354
0.0,0.0,-16.0,8.0,-3.0,40377
0.0,0.0,-2.0,-16.0,-5.0,40400
0.0,0.0,-8.0,14.0,-1.0,40424
0.0,0.0,4.0,4.0,21.0,40447
0.0,0.0,-18.0,10.0,-33.0,40470
0.0,0.0,2.0,4.0,-5.0,40493
0.0,0.0,6.0,-6.0,-15.0,40516
0.0,0.0,-4.0,-32.0,-19.0,40540
0.0,0.0,-4.0,10.0,-7.0,40563
0.0,0.0,-20.0,-36.0,-9.0,40586
0.0,0.0,-12.0,14.0,7.0,40609
0.0,0.0,-6.0,-24.0,-1.0,40632
