si,pga,x,y,z,time
0.0,0.0,30.0,-12.0,1.0,170391
0.0,0.0,28.0,-10.0,-3.0,170456
0.0,0.0,-34.0,24.0,-3.0,170521
0.0,0.0,-20.0,8.0,7.0,170586
0.0,0.0,4.0,30.0,-3.0,170652
0.0,0.0,-16.0,-8.0,5.0,170717
0.0,0.0,16.0,0.0,21.0,170783
0.0,0.0,36.0,-40.0,7.0,170849
0.0,0.0,-12.0,-10.0,-15.0,170914
0.0,0.0,62.0,-22.0,-3.0,170980
0.0,0.0,-20.0,4.0,19.0,171003
0.0,0.0,-46.0,14.0,-1.0,171027
0.0,0.0,4.0,-8.0,-13.0,171050
0.0,0.0,16.0,8.0,-11.0,171073
0.0,0.0,34.0,44.0,-1.0,171096
0.0,0.0,-8.0,8.0,7.0,171119
0.0,0.0,-62.0,-4.0,-7.0,171142
0.0,0.0,8.0,-14.0,11.0,171165
0.0,0.0,66.0,8.0,-15.0,171188
0.0,0.0,-2.0,22.0,-3.0,171211
0.0,0.0,-8.0,14.0,51.0,171234
0.0,0.0,-38.0,28.0,21.0,171257
0.0,0.0,6.0,-6.0,1.0,171280
0.0,0.0,32.0,-38.0,-11.0,171304
0.0,0.0,34.0,-8.0,37.0,171327
0.0,0.0,-32.0,-34.0,-5.0,171351
0.0,0.0,-42.0,52.0,-17.0,171374
0.0,0.0,10.0,6.0,-7.0,171397
0.0,0.0,12.0,20.0,3.0,171420
0.0,0.0,46.0,-12.0,-3.0,171443
0.0,0.0,-34.0,-20.0,-13.0,171467
0.0,0.0,-34.0,18.0,13.0,171490
0.0,0.0,10.0,10.0,-1.0,171513
0.0,0.0,40.0,14.0,-21.0,171536
0.0,0.0,24.0,8.0,3.0,171559
0.0,0.0,-34.0,32.0,-15.0,171583
0.0,0.0,-42.0,18.0,3.0,171606
0.0,0.0,16.0,0.0,-5.0,171629
0.0,0.0,46.0,-44.0,5.0,171652
0.0,0.0,12.0,-38.0,23.0,171675
0.0,0.0,-12.0,6.0,49.0,171698
0.0,0.0,-50.0,10.0,19.0,171721
0.0,0.0,28.0,76.0,9.0,171744
0.0,0.0,30.0,-22.0,31.0,171767
0.0,0.0,-12.0,8.0,5.0,171791
0.0,0.0,-12.0,-16.0,45.0,171814
0.0,0.0,-4.0,58.0,7.0,171837
0.0,0.0,-24.0,24.0,-19.0,171860
0.0,0.0,40.0,4.0,9.0,171884
0.0,0.0,2.0,-14.0,-13.0,171907
0.0,0.0,44.0,-34.0,-17.0,171930
0.0,0.0,-46.0,8.0,1.0,171953
0.0,0.0,26.0,14.0,-13.0,171977
0.0,0.0,8.0,-8.0,17.0,172000
0.0,0.0,28.0,-8.0,-37.0,172023
0.0,0.0,-12.0,-46.0,39.0,172046
0.0,0.0,4.0,42.0,-11.0,172069
0.0,0.0,-2.0,10.0,37.0,172092
0.0,0.0,0.0,10.0,-11.0,172115
0.0,0.0,10.0,10.0,13.0,172139
0.0,0.0,4.0,6.0,-5.0,172162
