0.00,19.00,-131.00,8.00,396779
0,0,399.00,-381.00,22.00,400889
0,0,-145.00,163.00,256.00,400912
0,0,-185.00,209.00,362.00,400935
0,0,-19.00,125.00,-250.00,400958
0,0,7.00,-71.00,94.00,400982
0,0,341.00,-125.00,68.00,401005
0,0,-35.00,-589.00,-574.00,401029
0,0,5.00,-531.00,-358.00,401052
0,0,79.00,-335.00,-250.00,401075
0,0,27.00,-489.00,-98.00,401098
0,0,5.00,325.00,-540.00,401121
0,0,9.00,-57.00,152.00,401144
0,0,-11.00,-519.00,-122.00,401168
0,0,255.00,-11.00,12.00,401191
0,0,-95.00,247.00,422.00,401214
0,0,157.00,301.00,468.00,401237
0,0,-197.00,-825.00,-630.00,401261
0,0,719.00,-491.00,-586.00,401284
0,0,539.00,-345.00,-94.00,401308
0,0,791.00,145.00,398.00,401331
0,0,455.00,305.00,328.00,401354
0,0,567.00,147.00,444.00,401377
0,0,-227.00,89.00,-120.00,401401
0,0,19.00,-165.00,28.00,401424
0,0,-39.00,-135.00,40.00,401447
0,0,75.00,-137.00,76.00,401471
0,0,11.00,-107.00,4.00,401494
0,0,15.00,-99.00,-30.00,401518
0,0,-3.00,-83.00,26.00,401541
0,0,-25.00,-61.00,34.00,401565
0,0,381.00,215.00,-192.00,401588
0,0,349.00,-141.00,350.00,401611
0,0,487.00,-267.00,684.00,401634
0,0,441.00,-241.00,-420.00,401658
0,0,-121.00,-281.00,420.00,401682
0,0,235.00,7.00,-444.00,401705
0,0,207.00,-571.00,-524.00,401729
0,0,127.00,-317.00,-414.00,401752
0,0,-273.00,-65.00,-660.00,401776
0,0,-367.00,183.00,382.00,401799
0,0,-13.00,15.00,470.00,401823
0,0,-165.00,-347.00,-128.00,401847
0,0,291.00,-303.00,158.00,401870
0,0,127.00,249.00,-120.00,401894
0,0,-277.00,-431.00,-404.00,401917
0,0,-233.00,-519.00,-400.00,401940
0,0,-113.00,79.00,214.00,401963
0,0,23.00,-405.00,-50.00,401986
0,0,199.00,581.00,684.00,402010
0,0,-237.00,-375.00,-408.00,402033
0,0,-43.00,-631.00,-386.00,402057
0,0,-559.00,-151.00,352.00,402080
0,0,-181.00,-391.00,-150.00,402104
0,0,-417.00,-417.00,-456.00,402127
0,0,-581.00,-213.00,-4.00,402150
0,0,577.00,-243.00,372.00,402173
0,0,-289.00,-175.00,56.00,402196
0,0,181.00,-189.00,86.00,402220
0,0,61.00,-265.00,-82.00,402244
0,0,-75.00,-25.00,50.00,402267
0,0,-47.00,-43.00,-30.00,402291
0,0,-43.00,-145.00,6.00,402314
0,0,11.00,-189.00,28.00,402337
0,0,17.00,-153.00,72.00,402361
0,0,-293.00,173.00,98.00,402385
0,0,-269.00,41.00,220.00,402408
0,0,-523.00,207.00,582.00,402431
0,0,-411.00,-583.00,-146.00,402454
0.00,0.00,-99.00,-343.00,-88.00,402560
0.00,0.00,153.00,-175.00,280.00,402625
0.00,0.00,-215.00,-479.00,-440.00,402691
0.00,0.00,-211.00,-317.00,-60.00,402757
0.00,0.00,123.00,123.00,558.00,402823
0.00,0.00,317.00,-1159.00,-1328.00,402889
0.00,0.00,973.00,159.00,18.00,402954
0.00,0.00,-21.00,-83.00,76.00,403019
0.00,0.00,-71.00,-131.00,72.00,403084
0.00,0.00,-41.00,-151.00,2.00,403150
0,0,509.00,-247.00,590.00,403173
0,0,495.00,181.00,-382.00,403196
0,0,443.00,-239.00,118.00,403219
0,0,315.00,-381.00,506.00,403243
0,0,-15.00,-1.00,-112.00,403266
0,0,153.00,-499.00,-266.00,403289
0,0,123.00,139.00,-2.00,403312
0,0,-175.00,-207.00,28.00,403335
0,0,-341.00,-515.00,-370.00,403358
0,0,-257.00,-423.00,-52.00,403382
0,0,27.00,-581.00,-286.00,403405
0,0,357.00,-137.00,76.00,403429
0,0,-293.00,61.00,150.00,403452
0,0,-109.00,-143.00,-138.00,403476
0,0,-129.00,-275.00,-330.00,403499
0,0,255.00,137.00,228.00,403523
0,0,199.00,-109.00,-144.00,403547
0,0,151.00,415.00,544.00,403570
0,0,-121.00,-51.00,30.00,403594
0,0,-35.00,-19.00,108.00,403617
0,0,-111.00,-35.00,528.00,403641
0,0,-229.00,-197.00,92.00,403664
0,0,-125.00,-439.00,-6.00,403688
0,0,-363.00,-367.00,16.00,403711
0,0,-131.00,-191.00,-18.00,403735
0,0,-35.00,-159.00,66.00,403758
0,0,-95.00,-85.00,-72.00,403782
0,0,51.00,-179.00,-42.00,403805
0,0,-135.00,-13.00,110.00,403829
0,0,71.00,-143.00,72.00,403852
0,0,-39.00,-177.00,-38.00,403876
0,0,-19.00,-195.00,-16.00,403899
0,0,-1.00,-155.00,90.00,403922
0,0,-437.00,-207.00,172.00,403946
0,0,-671.00,-383.00,178.00,403969
0,0,-687.00,-253.00,-82.00,403992
0,0,-465.00,-215.00,-70.00,404016
0,0,-225.00,-177.00,38.00,404039
0,0,73.00,163.00,-328.00,404063
