si,pga,x,y,z,time
0.0,0.0,10.0,-16.0,-9.0,440043
0.0,0.0,14.0,-12.0,17.0,440066
0.0,0.0,-4.0,-8.0,19.0,440090
0.0,0.0,-10.0,-2.0,23.0,440113
0.0,0.0,-4.0,16.0,-7.0,440136
0.0,0.0,-2.0,6.0,1.0,440159
0.0,0.0,8.0,-2.0,-3.0,440182
0.0,0.0,4.0,-6.0,5.0,440205
0.0,0.0,-8.0,6.0,1.0,440229
0.0,0.0,2.0,14.0,-9.0,440252
0.0,0.0,10.0,12.0,23.0,440275
0.0,0.0,4.0,-2.0,9.0,440298
0.0,0.0,6.0,-2.0,7.0,440321
0.0,0.0,-2.0,-2.0,9.0,440344
0.0,0.0,2.0,0.0,3.0,440367
0.0,0.0,-2.0,2.0,-1.0,440391
0.0,0.0,8.0,2.0,1.0,440414
0.0,0.0,10.0,-6.0,3.0,440437
0.0,0.0,2.0,12.0,1.0,440460
0.0,0.0,-10.0,2.0,7.0,440484
0.0,0.0,4.0,-14.0,-1.0,440507
0.0,0.0,0.0,-12.0,17.0,440530
0.0,0.0,4.0,6.0,-11.0,440553
0.0,0.0,0.0,16.0,3.0,440597
0.0,0.0,-4.0,16.0,13.0,440620
0.0,0.0,4.0,6.0,-1.0,440643
0.0,0.0,-4.0,-18.0,9.0,440666
0.0,0.0,8.0,-2.0,1.0,440690
0.0,0.0,6.0,14.0,23.0,440713
0.0,0.0,4.0,8.0,-7.0,440737
0.0,0.0,-18.0,24.0,13.0,440760
0.0,0.0,-12.0,-22.0,21.0,440784
0.0,0.0,12.0,0.0,7.0,440807
0.0,0.0,8.0,10.0,15.0,440830
0.0,0.0,8.0,2.0,-11.0,440854
0.0,0.0,4.0,8.0,15.0,440877
0.0,0.0,6.0,2.0,-1.0,440900
0.0,0.0,-2.0,-4.0,35.0,440923
0.0,0.0,12.0,2.0,-1.0,440946
0.0,0.0,-2.0,4.0,35.0,440969
0.0,0.0,-6.0,8.0,7.0,440992
0.0,0.0,-20.0,-8.0,9.0,441015
0.0,0.0,24.0,10.0,19.0,441039
0.0,0.0,-24.0,-12.0,-1.0,441062
0.0,0.0,20.0,4.0,-11.0,441085
0.0,0.0,6.0,0.0,-11.0,441108
0.0,0.0,-8.0,6.0,-11.0,441131
0.0,0.0,-8.0,2.0,-5.0,441154
0.0,0.0,16.0,38.0,33.0,441177
0.0,0.0,12.0,-2.0,-25.0,441200
0.0,0.0,10.0,-22.0,17.0,441223
0.0,0.0,-10.0,-6.0,1.0,441246
0.0,0.0,-14.0,-20.0,3.0,441269
0.0,0.0,8.0,6.0,-3.0,441292
0.0,0.0,-12.0,-28.0,3.0,441316
0.0,0.0,-8.0,20.0,5.0,441339
0.0,0.0,12.0,14.0,-3.0,441362
0.0,0.0,-16.0,10.0,21.0,441385
0.0,0.0,18.0,12.0,1.0,441408
0.0,0.0,-8.0,-10.0,1.0,441431
0.0,0.0,-8.0,38.0,13.0,441454
0.0,0.0,-6.0,24.0,-9.0,441477
0.0,0.0,8.0,-4.0,21.0,441500
0.0,0.0,-14.0,-32.0,27.0,441523
0.0,0.0,28.0,-26.0,-5.0,441546
0.0,0.0,2.0,-18.0,47.0,441569
0.0,0.0,-48.0,50.0,-19.0,441593
0.0,0.0,-18.0,32.0,17.0,441616
0.0,0.0,-16.0,0.0,-27.0,441639
0.0,0.0,82.0,-34.0,-7.0,441663
0.0,0.0,16.0,-62.0,33.0,441686
0.0,0.0,-46.0,6.0,-5.0,441709
0.0,0.0,-66.0,0.0,-9.0,441732
0.0,0.0,16.0,46.0,33.0,441755
0.0,0.0,54.0,42.0,-15.0,441778
0.0,0.0,38.0,24.0,37.0,441802
0.0,0.0,28.0,8.0,61.0,441825
0.0,0.0,-256.0,62.0,-63.0,441848
0.0,0.0,22.0,178.0,259.0,441871
0.0,0.0,-32.0,42.0,127.0,441894
0.0,0.0,18.0,-2.0,-17.0,442181
