si,pga,x,y,z,time
0.0,0.0,-8.0,-6.0,-11.0,495913
0.0,0.0,-10.0,-12.0,-9.0,495937
0.0,0.0,28.0,14.0,-21.0,495981
0.0,0.0,-2.0,10.0,27.0,496004
0.0,0.0,-18.0,-2.0,5.0,496027
0.0,0.0,-4.0,2.0,-7.0,496050
0.0,0.0,-2.0,4.0,13.0,496073
0.0,0.0,6.0,0.0,41.0,496096
0.0,0.0,18.0,-2.0,39.0,496119
0.0,0.0,4.0,-28.0,7.0,496142
0.0,0.0,8.0,28.0,-5.0,496166
0.0,0.0,2.0,-12.0,-11.0,496189
0.0,0.0,4.0,-2.0,-7.0,496213
0.0,0.0,8.0,-6.0,-21.0,496236
0.0,0.0,-6.0,-8.0,21.0,496260
0.0,0.0,4.0,-14.0,17.0,496303
0.0,0.0,10.0,0.0,-17.0,496327
0.0,0.0,8.0,-12.0,-15.0,496350
0.0,0.0,2.0,8.0,-5.0,496374
0.0,0.0,6.0,-16.0,7.0,496397
0.0,0.0,2.0,-6.0,-9.0,496421
0.0,0.0,16.0,22.0,1.0,496444
0.0,0.0,-2.0,6.0,-9.0,496467
0.0,0.0,4.0,0.0,11.0,496491
0.0,0.0,10.0,8.0,-3.0,496514
0.0,0.0,2.0,-14.0,-9.0,496537
0.0,0.0,-4.0,-18.0,5.0,496561
0.0,0.0,-2.0,-8.0,1.0,496584
0.0,0.0,-22.0,8.0,-1.0,496627
0.0,0.0,4.0,-22.0,-11.0,496651
0.0,0.0,-6.0,8.0,9.0,496674
0.0,0.0,2.0,-6.0,13.0,496697
0.0,0.0,6.0,4.0,-3.0,496720
0.0,0.0,4.0,6.0,9.0,496743
0.0,0.0,0.0,-26.0,5.0,496767
0.0,0.0,12.0,10.0,3.0,496790
0.0,0.0,2.0,-8.0,15.0,496813
0.0,0.0,6.0,-20.0,1.0,496836
0.0,0.0,8.0,14.0,11.0,496859
0.0,0.0,-4.0,-4.0,3.0,496882
0.0,0.0,4.0,6.0,9.0,496905
0.0,0.0,8.0,30.0,21.0,496928
0.0,0.0,-4.0,-70.0,-23.0,496951
0.0,0.0,-8.0,6.0,-29.0,496975
0.0,0.0,-6.0,-8.0,7.0,496998
0.0,0.0,10.0,6.0,-25.0,497021
0.0,0.0,-10.0,-4.0,5.0,497044
0.0,0.0,4.0,14.0,7.0,497067
0.0,0.0,-2.0,2.0,11.0,497089
0.0,0.0,-4.0,-22.0,-13.0,497113
0.0,0.0,12.0,0.0,29.0,497136
0.0,0.0,14.0,14.0,7.0,497159
0.0,0.0,2.0,-2.0,-1.0,497182
0.0,0.0,14.0,-14.0,-9.0,497206
0.0,0.0,6.0,-14.0,1.0,497229
0.0,0.0,4.0,-2.0,15.0,497252
0.0,0.0,-4.0,6.0,7.0,497275
0.0,0.0,12.0,0.0,1.0,497298
0.0,0.0,-6.0,-8.0,-9.0,497321
0.0,0.0,10.0,6.0,1.0,497345
0.0,0.0,-14.0,-18.0,13.0,497368
0.0,0.0,-2.0,-8.0,23.0,497391
0.0,0.0,-6.0,-20.0,-5.0,497414
0.0,0.0,-10.0,18.0,23.0,497437
0.0,0.0,0.0,-4.0,39.0,497460
0.0,0.0,-12.0,20.0,1.0,497483
0.0,0.0,-4.0,-18.0,19.0,497506
0.0,0.0,14.0,8.0,-35.0,497529
0.0,0.0,10.0,-24.0,-63.0,497553
0.0,0.0,-14.0,6.0,-17.0,497576
0.0,0.0,-14.0,-4.0,13.0,497599
0.0,0.0,8.0,2.0,1.0,497622
0.0,0.0,10.0,-12.0,3.0,497645
0.0,0.0,12.0,2.0,5.0,497668
0.0,0.0,4.0,8.0,17.0,497691
0.0,0.0,-2.0,-6.0,33.0,497714
0.0,0.0,-8.0,10.0,-5.0,497737
0.0,0.0,4.0,-4.0,-11.0,497761
0.0,0.0,2.0,-34.0,7.0,497784
0.0,0.0,54.0,16.0,41.0,497807
0.0,0.0,-30.0,66.0,-61.0,497830
0.0,0.0,54.0,50.0,47.0,497853
0.0,0.0,-64.0,30.0,3.0,497876
0.0,0.0,42.0,-8.0,43.0,497899
0.0,0.0,2.0,10.0,29.0,497923
0.0,0.0,24.0,18.0,-1.0,498209
0.0,0.0,104.0,-222.0,-143.0,498274
0.0,0.0,6.0,-112.0,75.0,498339
0.0,0.0,0.0,-16.0,-15.0,498405
0.0,0.0,68.0,124.0,7.0,498470
0.0,0.0,32.0,-14.0,-3.0,498535
0.0,0.0,28.0,12.0,55.0,498601
0.0,0.0,12.0,2.0,-7.0,498666
0.0,0.0,8.0,4.0,-21.0,498731
0.0,0.0,14.0,0.0,-1.0,498816
0.0,0.0,4.0,0.0,-25.0,498840
0.0,0.0,0.0,-30.0,7.0,498863
0.0,0.0,6.0,0.0,-15.0,498886
0.0,0.0,8.0,12.0,-21.0,498910
0.0,0.0,-6.0,-4.0,-15.0,498933
0.0,0.0,12.0,10.0,1.0,498956
0.0,0.0,4.0,-22.0,-13.0,498979
0.0,0.0,4.0,-24.0,11.0,499003
0.0,0.0,8.0,-18.0,-5.0,499026
0.0,0.0,-14.0,-4.0,-1.0,499049
0.0,0.0,6.0,14.0,25.0,499072
0.0,0.0,14.0,10.0,15.0,499095
0.0,0.0,24.0,-18.0,9.0,499119
