si,pga,x,y,z,time
0.0,0.0,20.0,-28.0,3.0,553804
0.0,0.0,6.0,26.0,27.0,553827
0.0,0.0,-8.0,-2.0,-1.0,553851
0.0,0.0,2.0,8.0,-1.0,553874
0.0,0.0,4.0,-10.0,19.0,553898
0.0,0.0,-2.0,-2.0,-7.0,553942
0.0,0.0,-8.0,2.0,7.0,553965
0.0,0.0,6.0,8.0,-9.0,553988
0.0,0.0,-2.0,20.0,-9.0,554012
0.0,0.0,4.0,-2.0,65.0,554035
0.0,0.0,24.0,24.0,73.0,554059
0.0,0.0,12.0,10.0,19.0,554082
0.0,0.0,8.0,8.0,-15.0,554106
0.0,0.0,2.0,-40.0,3.0,554129
0.0,0.0,-2.0,-28.0,-5.0,554152
0.0,0.0,6.0,4.0,-3.0,554175
0.0,0.0,-4.0,16.0,-3.0,554199
0.0,0.0,4.0,0.0,13.0,554222
0.0,0.0,-14.0,-4.0,9.0,554266
0.0,0.0,10.0,0.0,1.0,554289
0.0,0.0,2.0,0.0,-15.0,554312
0.0,0.0,8.0,8.0,3.0,554336
0.0,0.0,14.0,8.0,9.0,554359
0.0,0.0,2.0,2.0,-3.0,554382
0.0,0.0,-2.0,4.0,15.0,554405
0.0,0.0,6.0,6.0,1.0,554429
0.0,0.0,10.0,-28.0,3.0,554452
0.0,0.0,6.0,4.0,9.0,554476
0.0,0.0,2.0,2.0,-21.0,554499
0.0,0.0,6.0,-2.0,21.0,554522
0.0,0.0,0.0,-4.0,11.0,554545
0.0,0.0,-8.0,6.0,-19.0,554589
0.0,0.0,2.0,4.0,9.0,554612
0.0,0.0,8.0,4.0,5.0,554635
0.0,0.0,-2.0,-6.0,9.0,554658
0.0,0.0,20.0,12.0,-3.0,554681
0.0,0.0,14.0,4.0,-19.0,554705
0.0,0.0,12.0,4.0,17.0,554728
0.0,0.0,-2.0,0.0,1.0,554750
0.0,0.0,6.0,20.0,-19.0,554774
0.0,0.0,10.0,6.0,9.0,554797
0.0,0.0,-6.0,-14.0,-13.0,554820
0.0,0.0,-2.0,-6.0,13.0,554843
0.0,0.0,-10.0,6.0,9.0,554867
0.0,0.0,-10.0,14.0,-9.0,554890
0.0,0.0,10.0,8.0,11.0,554913
0.0,0.0,8.0,8.0,-3.0,554936
0.0,0.0,-2.0,-8.0,-5.0,554959
0.0,0.0,-4.0,-2.0,-7.0,554982
0.0,0.0,12.0,-4.0,1.0,555005
0.0,0.0,10.0,0.0,41.0,555028
0.0,0.0,-8.0,22.0,-21.0,555051
0.0,0.0,10.0,-12.0,-11.0,555074
0.0,0.0,6.0,-2.0,-3.0,555097
0.0,0.0,6.0,10.0,-7.0,555120
0.0,0.0,10.0,24.0,39.0,555143
0.0,0.0,-12.0,22.0,-13.0,555167
0.0,0.0,-2.0,12.0,29.0,555190
0.0,0.0,2.0,-10.0,13.0,555213
0.0,0.0,-16.0,-44.0,-11.0,555236
0.0,0.0,-8.0,16.0,-15.0,555259
0.0,0.0,-22.0,2.0,-17.0,555282
0.0,0.0,-8.0,-16.0,13.0,555305
0.0,0.0,0.0,-22.0,-31.0,555328
0.0,0.0,78.0,-62.0,7.0,555351
0.0,0.0,-34.0,-40.0,-57.0,555374
0.0,0.0,82.0,-26.0,-19.0,555397
0.0,0.0,-46.0,42.0,-19.0,555420
0.0,0.0,26.0,60.0,5.0,555443
0.0,0.0,0.0,0.0,1.0,555466
0.0,0.0,-14.0,18.0,-1.0,555489
0.0,0.0,-6.0,-54.0,37.0,555512
0.0,0.0,50.0,20.0,1.0,555535
0.0,0.0,2.0,24.0,3.0,555558
0.0,0.0,-4.0,32.0,-31.0,555581
0.0,0.0,-12.0,-6.0,53.0,555604
0.0,0.0,-28.0,4.0,-1.0,555627
0.0,0.0,50.0,-10.0,9.0,555650
0.0,0.0,-40.0,-18.0,-35.0,555673
0.0,0.0,-134.0,134.0,-71.0,555696
0.0,0.0,78.0,-10.0,107.0,555719
0.0,0.0,-56.0,-124.0,-61.0,555742
0.0,0.0,134.0,-196.0,-41.0,555765
0.0,0.0,44.0,2.0,55.0,555788
0.0,0.0,-78.0,128.0,-45.0,555811
0.0,0.0,48.0,-108.0,57.0,555834
0.0,0.0,6.0,-8.0,-21.0,555858
0.0,0.0,0.0,-44.0,7.0,555881
0.0,0.0,-10.0,18.0,-1.0,556188
0.0,0.0,14.0,-22.0,21.0,556253
0.0,0.0,-10.0,-4.0,5.0,556318
0.0,0.0,-4.0,-10.0,-17.0,556383
0.0,0.0,-6.0,36.0,-1.0,556448
0.0,0.0,6.0,70.0,-7.0,556514
0.0,0.0,-18.0,-8.0,-17.0,556579
0.0,0.0,2.0,8.0,11.0,556644
0.0,0.0,24.0,26.0,-15.0,556709
0.0,0.0,62.0,-30.0,5.0,556795
0.0,0.0,48.0,-26.0,5.0,556818
0.0,0.0,2.0,-26.0,-17.0,556841
0.0,0.0,34.0,-2.0,27.0,556864
0.0,0.0,6.0,-50.0,27.0,556888
0.0,0.0,24.0,-44.0,19.0,556911
0.0,0.0,40.0,-72.0,27.0,556934
0.0,0.0,-32.0,-32.0,1.0,556957
0.0,0.0,14.0,-68.0,23.0,556981
0.0,0.0,-44.0,-42.0,3.0,557004
0.0,0.0,-42.0,-76.0,-13.0,557027
0.0,0.0,0.0,-70.0,9.0,557051
0.0,0.0,-30.0,-42.0,-3.0,557074
0.0,0.0,-52.0,-36.0,-3.0,557097
0.0,0.0,-46.0,-70.0,1.0,557120
0.0,0.0,-62.0,-14.0,5.0,557143
0.0,0.0,-62.0,-14.0,7.0,557167
0.0,0.0,-46.0,-16.0,23.0,557190
0.0,0.0,-62.0,28.0,1.0,557213
0.0,0.0,-88.0,10.0,17.0,557236
0.0,0.0,-36.0,104.0,-9.0,557259
0.0,0.0,-90.0,-6.0,-115.0,557282
0.0,0.0,-42.0,134.0,-33.0,557305
0.0,0.0,-70.0,98.0,29.0,557328
0.0,0.0,-20.0,138.0,15.0,557352
0.0,0.0,-70.0,160.0,53.0,557375
0.0,0.0,32.0,106.0,11.0,557398
0.0,0.0,2.0,148.0,33.0,557421
0.0,0.0,50.0,116.0,-31.0,557445
0.0,0.0,80.0,106.0,-31.0,557468
0.0,0.0,112.0,148.0,-37.0,557491
0.0,0.0,108.0,34.0,-11.0,557514
0.0,0.0,144.0,-60.0,15.0,557537
0.0,0.0,128.0,-18.0,75.0,557561
0.0,0.0,174.0,-30.0,-15.0,557584
0.0,0.0,130.0,-36.0,35.0,557607
0.0,0.0,98.0,-22.0,67.0,557630
0.0,0.0,186.0,40.0,127.0,557653
0.0,0.0,142.0,-14.0,103.0,557676
0.0,0.0,72.0,-174.0,25.0,557699
0.0,0.0,-4.0,-330.0,51.0,557723
0.0,0.0,4.0,-34.0,-21.0,557746
0.0,0.0,-100.0,-136.0,-23.0,557769
0.0,0.0,-104.0,-224.0,35.0,557793
0.0,0.0,-168.0,-136.0,-19.0,557816
0.0,0.0,-182.0,-86.0,15.0,557839
0.0,0.0,-194.0,2.0,-11.0,557862
0.0,0.0,-168.0,32.0,11.0,557885
0.0,0.0,-174.0,172.0,-27.0,557908
0.0,0.0,-228.0,-10.0,-53.0,557931
0.0,0.0,-48.0,192.0,-21.0,557954
0.0,0.0,-102.0,358.0,41.0,557977
0.0,0.0,16.0,336.0,5.0,558000
0.0,0.0,32.0,280.0,25.0,558024
0.0,0.0,162.0,170.0,-13.0,558047
0.0,0.0,190.0,168.0,51.0,558070
0.0,0.0,216.0,176.0,7.0,558093
0.0,0.0,286.0,-26.0,19.0,558116
0.0,0.0,262.0,36.0,81.0,558139
0.0,0.0,84.0,-396.0,-125.0,558162
0.0,0.0,154.0,-588.0,-33.0,558185
0.0,0.0,88.0,-440.0,49.0,558208
0.0,0.0,-4.0,-452.0,-93.0,558231
0.0,0.0,-98.0,-230.0,37.0,558254
0.0,0.0,-106.0,-352.0,73.0,558277
0.0,0.0,-312.0,-220.0,-9.0,558300
0.0,0.0,-338.0,-100.0,5.0,558323
0.0,0.0,-314.0,42.0,-39.0,558346
0.0,0.0,-226.0,182.0,-15.0,558368
0.0,0.0,-214.0,454.0,13.0,558391
0.0,0.0,-214.0,488.0,27.0,558414
0.0,0.0,-22.0,460.0,55.0,558437
0.0,0.0,214.0,282.0,-57.0,558460
0.0,0.0,240.0,308.0,-11.0,558483
0.0,0.0,420.0,326.0,-1.0,558506
0.0,0.0,424.0,-114.0,65.0,558529
0.0,0.0,354.0,-116.0,-17.0,558552
0.0,0.0,386.0,-94.0,-7.0,558576
0.0,0.0,294.0,-296.0,65.0,558599
0.0,0.0,28.0,-446.0,-15.0,558622
0.0,0.0,-46.0,-488.0,61.0,558645
0.0,0.0,-196.0,-282.0,37.0,558668
0.0,0.0,-324.0,-360.0,27.0,558691
0.0,0.0,-474.0,48.0,143.0,558714
0.0,0.0,-432.0,62.0,-71.0,558737
0.0,0.0,-372.0,-152.0,-179.0,558760
0.0,0.0,-314.0,684.0,291.0,558783
0.0,0.0,-54.0,694.0,43.0,558805
0.0,0.0,144.0,598.0,-25.0,558829
0.0,0.0,326.0,420.0,-1.0,558852
0.0,0.0,446.0,148.0,-77.0,558875
0.0,0.0,528.0,178.0,75.0,558898
0.0,0.0,558.0,-434.0,-1.0,558921
0.0,0.0,484.0,-1026.0,-389.0,558944
0.0,0.0,-552.0,-314.0,-1.0,559050
0.0,0.0,-456.0,560.0,85.0,559115
0.0,0.0,504.0,500.0,-75.0,559180
0.0,0.0,674.0,-440.0,35.0,559245
0.0,0.0,-158.0,-624.0,15.0,559311
0.0,0.0,-752.0,174.0,59.0,559376
0.0,0.0,-54.0,626.0,-229.0,559441
0.0,0.0,778.0,208.0,-97.0,559506
0.0,0.0,174.0,-894.0,-17.0,559571
0.0,0.0,-818.0,42.0,25.0,559657
0.0,0.0,-634.0,1076.0,191.0,559680
0.0,0.0,-366.0,940.0,197.0,559703
0.0,0.0,108.0,842.0,-125.0,559727
0.0,0.0,454.0,748.0,21.0,559750
0.0,0.0,836.0,422.0,195.0,559773
0.0,0.0,880.0,-262.0,41.0,559796
0.0,0.0,580.0,-766.0,-79.0,559819
0.0,0.0,246.0,-1168.0,9.0,559842
0.0,0.0,-188.0,-1134.0,21.0,559865
0.0,0.0,-690.0,-582.0,205.0,559888
0.0,0.0,-868.0,-102.0,25.0,559911
0.0,0.0,-836.0,446.0,51.0,559934
0.0,0.0,-478.0,568.0,-173.0,559957
0.0,0.0,-148.0,1212.0,-83.0,559980
0.0,0.0,476.0,802.0,-103.0,560003
0.0,0.0,914.0,398.0,-69.0,560027
0.0,0.0,1044.0,62.0,65.0,560050
0.0,0.0,744.0,-694.0,185.0,560073
0.0,0.0,358.0,-1234.0,177.0,560097
0.0,0.0,-194.0,-1036.0,75.0,560120
0.0,0.0,-792.0,-642.0,77.0,560143
0.0,0.0,-1062.0,-128.0,-135.0,560167
0.0,0.0,-1030.0,486.0,-47.0,560190
0.0,0.0,78.0,1232.0,-13.0,560233
0.0,0.0,550.0,972.0,49.0,560256
0.0,0.0,1058.0,382.0,37.0,560280
0.0,0.0,1072.0,-300.0,155.0,560303
0.0,0.0,760.0,-1486.0,-25.0,560326
0.0,0.0,218.0,-1250.0,45.0,560349
0.0,0.0,-702.0,-1048.0,-37.0,560373
0.0,0.0,-1032.0,-406.0,59.0,560396
0.0,0.0,-1132.0,336.0,-105.0,560420
0.0,0.0,-760.0,884.0,-159.0,560443
0.0,0.0,50.0,1374.0,-71.0,560466
0.0,0.0,832.0,796.0,-241.0,560489
0.0,0.0,1288.0,98.0,145.0,560512
0.0,0.0,1284.0,-426.0,81.0,560535
0.0,0.0,434.0,-1016.0,-175.0,560559
0.0,0.0,-44.0,-1850.0,-61.0,560582
0.0,0.0,-870.0,-1158.0,-11.0,560605
0.0,0.0,-1244.0,30.0,65.0,560628
0.0,0.0,-1134.0,698.0,-49.0,560651
0.0,0.0,-416.0,784.0,-341.0,560674
0.0,0.0,144.0,1376.0,-153.0,560697
