si,pga,x,y,z,time
0.0,0.0,2.0,10.0,-21.0,625912
0.0,0.0,14.0,32.0,11.0,625935
0.0,0.0,-2.0,6.0,25.0,625958
0.0,0.0,2.0,-16.0,7.0,625982
0.0,0.0,22.0,-2.0,11.0,626005
0.0,0.0,-14.0,2.0,-9.0,626049
0.0,0.0,-4.0,26.0,-29.0,626072
0.0,0.0,-18.0,24.0,-9.0,626095
0.0,0.0,16.0,-14.0,-1.0,626119
0.0,0.0,14.0,-18.0,3.0,626142
0.0,0.0,12.0,-32.0,-19.0,626166
0.0,0.0,0.0,8.0,-3.0,626189
0.0,0.0,-10.0,22.0,-5.0,626213
0.0,0.0,-2.0,10.0,1.0,626236
0.0,0.0,0.0,4.0,21.0,626259
0.0,0.0,10.0,-16.0,5.0,626282
0.0,0.0,16.0,-8.0,17.0,626306
0.0,0.0,-8.0,-2.0,-3.0,626329
0.0,0.0,6.0,34.0,-7.0,626372
0.0,0.0,12.0,12.0,-17.0,626396
0.0,0.0,8.0,0.0,-5.0,626419
0.0,0.0,10.0,-26.0,-5.0,626442
0.0,0.0,22.0,-10.0,29.0,626466
0.0,0.0,-16.0,-2.0,-7.0,626489
0.0,0.0,6.0,6.0,25.0,626512
0.0,0.0,8.0,18.0,5.0,626536
0.0,0.0,-2.0,22.0,-5.0,626559
0.0,0.0,8.0,-2.0,-9.0,626583
0.0,0.0,4.0,-6.0,-11.0,626606
0.0,0.0,-2.0,12.0,13.0,626629
0.0,0.0,2.0,16.0,-9.0,626653
0.0,0.0,8.0,0.0,21.0,626676
0.0,0.0,-14.0,-12.0,-5.0,626699
0.0,0.0,-40.0,-26.0,11.0,626985
0.0,0.0,0.0,-4.0,-45.0,627051
0.0,0.0,-46.0,-12.0,17.0,627116
0.0,0.0,-6.0,22.0,-23.0,627181
0.0,0.0,-6.0,20.0,5.0,627246
0.0,0.0,38.0,-20.0,53.0,627311
0.0,0.0,-10.0,-6.0,25.0,627377
0.0,0.0,44.0,488.0,137.0,627442
0.0,0.0,2.0,-60.0,-11.0,627507
0.0,0.0,-38.0,22.0,31.0,627592
0.0,0.0,-46.0,76.0,-35.0,627615
0.0,0.0,56.0,36.0,-5.0,627638
0.0,0.0,66.0,40.0,71.0,627661
0.0,0.0,-64.0,-20.0,23.0,627684
0.0,0.0,4.0,-10.0,27.0,627707
0.0,0.0,6.0,-12.0,-29.0,627730
0.0,0.0,-2.0,38.0,7.0,627753
0.0,0.0,22.0,-10.0,-7.0,627777
0.0,0.0,16.0,4.0,3.0,627799
0.0,0.0,-20.0,-2.0,29.0,627823
0.0,0.0,-6.0,34.0,-23.0,627846
0.0,0.0,12.0,-32.0,-7.0,627869
0.0,0.0,4.0,6.0,-1.0,627892
0.0,0.0,14.0,2.0,13.0,627915
0.0,0.0,12.0,10.0,-7.0,627938
0.0,0.0,-22.0,-8.0,9.0,627961
0.0,0.0,-18.0,18.0,-1.0,627984
