Time,PM1,PM2.5,PM4,PM10,Typical,Bucket1,Bucket2.5,Bucket4,Bucket10
385855,0.95,1.16,1.29,1.36,0.67,0.95,0.21,0.13,0.07
386920,0.95,1.16,1.29,1.35,0.67,0.95,0.21,0.13,0.06
387985,0.94,1.14,1.27,1.33,0.67,0.94,0.21,0.13,0.06
389050,0.92,1.13,1.25,1.31,0.67,0.92,0.20,0.12,0.06
390116,0.91,1.12,1.24,1.30,0.67,0.91,0.20,0.12,0.06
391181,0.88,1.08,1.20,1.26,0.67,0.88,0.20,0.12,0.06
392246,0.86,1.05,1.17,1.23,0.67,0.86,0.19,0.12,0.06
393311,0.84,1.03,1.15,1.20,0.67,0.84,0.19,0.11,0.06
394376,0.82,1.00,1.12,1.17,0.67,0.82,0.18,0.11,0.06
395441,0.80,0.98,1.09,1.14,0.66,0.80,0.18,0.11,0.06
396506,0.78,0.96,1.06,1.12,0.66,0.78,0.17,0.11,0.05
397571,0.76,0.93,1.03,1.08,0.66,0.76,0.17,0.10,0.05
398636,0.73,0.90,1.00,1.05,0.66,0.73,0.16,0.10,0.05
399702,0.71,0.87,0.96,1.01,0.66,0.71,0.16,0.10,0.05
400768,0.68,0.84,0.93,0.98,0.66,0.68,0.15,0.09,0.05
401833,0.68,0.83,0.92,0.97,0.66,0.68,0.15,0.09,0.05
402899,0.67,0.82,0.91,0.96,0.66,0.67,0.15,0.09,0.05
403964,0.68,0.83,0.92,0.97,0.67,0.68,0.15,0.09,0.05
405030,0.68,0.83,0.92,0.97,0.66,0.68,0.15,0.09,0.05
406095,0.68,0.83,0.93,0.97,0.66,0.68,0.15,0.09,0.05
407161,0.68,0.83,0.92,0.96,0.66,0.68,0.15,0.09,0.05
408226,0.69,0.84,0.93,0.98,0.67,0.69,0.15,0.09,0.05
409291,0.69,0.84,0.93,0.98,0.67,0.69,0.15,0.09,0.05
410357,0.69,0.84,0.93,0.98,0.67,0.69,0.15,0.09,0.05
411422,0.68,0.83,0.92,0.97,0.67,0.68,0.15,0.09,0.05
412488,0.67,0.82,0.91,0.96,0.67,0.67,0.15,0.09,0.05
413554,0.67,0.82,0.91,0.95,0.67,0.67,0.15,0.09,0.05
414619,0.67,0.82,0.91,0.95,0.67,0.67,0.15,0.09,0.05
415684,0.67,0.82,0.91,0.96,0.67,0.67,0.15,0.09,0.05
416750,0.67,0.82,0.91,0.96,0.67,0.67,0.15,0.09,0.05
417815,0.68,0.83,0.93,0.97,0.67,0.68,0.15,0.09,0.05
418880,0.68,0.84,0.93,0.98,0.67,0.68,0.15,0.09,0.05
