id,value,feed_id,created_at,lat,lon,ele
0FFMK2HBS7S2MXQMAQ29A14R43,649.65,2699034,2023-12-19 20:42:32 UTC,,,
0FFMK2K90HKQSWZP25TS6BJQM9,696.96,2699034,2023-12-19 20:42:39 UTC,,,
0FFMK2N6G8X1QM94A3J9RF01HV,626.00,2699034,2023-12-19 20:42:45 UTC,,,
0FFMK2Q3TPVFCBYYCMMZX7CYT8,515.54,2699034,2023-12-19 20:42:51 UTC,,,
0FFMK2S19K625GWYQ2AQ8ME09D,465.27,2699034,2023-12-19 20:42:58 UTC,,,
0FFMK2TYNPB2JF65NK91MTC0XX,491.67,2699034,2023-12-19 20:43:04 UTC,,,
0FFMK2WW3Q6GCWQVV9RE734HNK,506.85,2699034,2023-12-19 20:43:10 UTC,,,
0FFMK2YSHMTAP5FBPSERP62HKF,528.73,2699034,2023-12-19 20:43:16 UTC,,,
0FFMK30PS207Q3QAEC206HBYV9,528.43,2699034,2023-12-19 20:43:23 UTC,,,
0FFMK32M75Y04GP1GZ1GF9P5H3,657.70,2699034,2023-12-19 20:43:29 UTC,,,
0FFMK34HJCPTKAQFV9MEGME99A,647.31,2699034,2023-12-19 20:43:35 UTC,,,
0FFMK36F1GENZP3MMHGJCYQ8PH,622.50,2699034,2023-12-19 20:43:42 UTC,,,
0FFMK38CC0NZ2F9MR9QJ0HGR5J,728.98,2699034,2023-12-19 20:43:48 UTC,,,
0FFMK3A9XASB7C8RVSMG91ESEY,1026.40,2699034,2023-12-19 20:43:54 UTC,,,
0FFMK3C7748BWGVGKXJXTVGXSG,1055.67,2699034,2023-12-19 20:44:00 UTC,,,
0FFMK3E4M4YHSYNFR3AVY5SSWP,832.06,2699034,2023-12-19 20:44:07 UTC,,,
0FFMK3G21CBFSFE191EHV4BMXM,808.40,2699034,2023-12-19 20:44:13 UTC,,,
0FFMK3HZBE9TAT2W6MP4XWSBW4,731.30,2699034,2023-12-19 20:44:19 UTC,,,
0FFMK3KWSSSJ36QVC4A05904EV,661.63,2699034,2023-12-19 20:44:26 UTC,,,
0FFMK3NT3ERCZHAQK22ZWC21SS,690.21,2699034,2023-12-19 20:44:32 UTC,,,
0FFMK3QQJ9M6TDT24DCXS53F1M,701.84,2699034,2023-12-19 20:44:38 UTC,,,
0FFMK3SN1FXH3TCBZ9ET7ZDH3V,981.24,2699034,2023-12-19 20:44:44 UTC,,,
0FFMK3VJC561Q292XYXFTDPRBT,587.22,2699034,2023-12-19 20:44:51 UTC,,,
0FFMK3XG1PXMJB6GK6BM7H1JXA,559.30,2699034,2023-12-19 20:44:57 UTC,,,
0FFMK3ZD3HK9AFEA4KEK6JZZ1Q,570.38,2699034,2023-12-19 20:45:03 UTC,,,
0FFMK41AH6Q5YTCZ5GEJJ84E9K,599.28,2699034,2023-12-19 20:45:10 UTC,,,
0FFMK437Y0EHV52Y113DXMVW8A,631.13,2699034,2023-12-19 20:45:16 UTC,,,
0FFMK4559HVM8S1HS9XQPT12SH,998.30,2699034,2023-12-19 20:45:22 UTC,,,
0FFMK472N9MTD18FQPTWENVRFA,701.02,2699034,2023-12-19 20:45:28 UTC,,,
0FFMK4902Z71K2463CHVCG6G9T,668.53,2699034,2023-12-19 20:45:35 UTC,,,
0FFMK4AXE5T9T4CF1RSXW5RCJ7,785.44,2699034,2023-12-19 20:45:41 UTC,,,
0FFMK4CTW706VZ8FHKKEJT64TR,882.55,2699034,2023-12-19 20:45:47 UTC,,,
0FFMK4ERCT6CCP5VWJZYKS3751,917.59,2699034,2023-12-19 20:45:54 UTC,,,
0FFMK4GNM9WZ7V2KEADZ868H1H,1021.30,2699034,2023-12-19 20:46:00 UTC,,,
0FFMK4JK5D1XA8RJ7253SSE44A,826.68,2699034,2023-12-19 20:46:06 UTC,,,
