id,value,feed_id,created_at,lat,lon,ele
0FFNE8442PEV764FAZA1Z1WYQ0,0.24,2699863,2023-12-20 22:02:15 UTC,,,
0FFNE861FH6SB7HQ8V6CM0YEJ6,0.24,2699863,2023-12-20 22:02:21 UTC,,,
0FFNE87YVA7CSPEK9DKMFK08H8,0.25,2699863,2023-12-20 22:02:28 UTC,,,
0FFNE89W9Y119JQQMEQ0MP0HKS,0.25,2699863,2023-12-20 22:02:34 UTC,,,
0FFNE8BSRKCTHE4Z0V0GRE6D2H,0.25,2699863,2023-12-20 22:02:40 UTC,,,
0FFNE8DQ5NGC6CV6D3WFBR1FFB,0.25,2699863,2023-12-20 22:02:47 UTC,,,
0FFNE8FMDBTTPGYQ1FQM6GH7MR,0.27,2699863,2023-12-20 22:02:53 UTC,,,
0FFNE8HHTG3VFK2HHYD6WB600D,0.29,2699863,2023-12-20 22:02:59 UTC,,,
0FFNE8KF6XE8KEJTQPGG0EXH0M,0.28,2699863,2023-12-20 22:03:05 UTC,,,
0FFNE8NCK9QW1F8ENB8QWQHRBM,0.27,2699863,2023-12-20 22:03:12 UTC,,,
0FFNE8QAAM0DB1K67RJM41DTXC,0.25,2699863,2023-12-20 22:03:18 UTC,,,
0FFNE8S7BQAF5KRDVZEJM57PBY,0.26,2699863,2023-12-20 22:03:24 UTC,,,
0FFNE8V4RHD5DA2FWMKM0PDPS5,0.26,2699863,2023-12-20 22:03:31 UTC,,,
0FFNE8X252W6ACT98JJTZ9MSMA,0.27,2699863,2023-12-20 22:03:37 UTC,,,
0FFNE8YZJJ17KSJ8276K40853B,0.29,2699863,2023-12-20 22:03:43 UTC,,,
0FFNE90X04NADTRQSC8SPT3TCX,0.30,2699863,2023-12-20 22:03:49 UTC,,,
0FFNE92TCGABCPH4YWJKEJW1HS,0.29,2699863,2023-12-20 22:03:56 UTC,,,
0FFNE94QQPEXSEXNC488GR3NAK,0.28,2699863,2023-12-20 22:04:02 UTC,,,
0FFNE96N3PEQT1FBJGAR40SBY0,0.28,2699863,2023-12-20 22:04:08 UTC,,,
0FFNE98JJ18ACT6DDD7ZH1X8RA,0.27,2699863,2023-12-20 22:04:15 UTC,,,
0FFNE9AG2VWD7ACA6XE55ZTYS3,0.27,2699863,2023-12-20 22:04:21 UTC,,,
0FFNE9CD9NNZ5TS83PW32Q3PMX,0.26,2699863,2023-12-20 22:04:27 UTC,,,
0FFNE9EAQ5FFAQYWMFSA6R3H3G,0.24,2699863,2023-12-20 22:04:33 UTC,,,
0FFNE9G89YF1A645DF30CJGYNA,0.24,2699863,2023-12-20 22:04:40 UTC,,,
0FFNE9J5E1HTWC4P0W4QP7W1N8,0.24,2699863,2023-12-20 22:04:46 UTC,,,
0FFNE9M2TBSG8K2MXKRR6JJEXV,0.23,2699863,2023-12-20 22:04:52 UTC,,,
0FFNE9P0CJTKWVAPMF439JK3QG,0.22,2699863,2023-12-20 22:04:59 UTC,,,
0FFNE9QXMZ7GPJK2AYQRKJH105,0.21,2699863,2023-12-20 22:05:05 UTC,,,
0FFNE9SV1WM61ZNKHZ3P6SN8HZ,0.22,2699863,2023-12-20 22:05:11 UTC,,,
0FFNE9VRCDV1WB733WJV0F64GV,0.20,2699863,2023-12-20 22:05:17 UTC,,,
0FFNE9XNRP0V5HS39YZF807N9E,0.17,2699863,2023-12-20 22:05:24 UTC,,,
0FFNE9ZK9HCMM44YTAZ8R92CSK,0.15,2699863,2023-12-20 22:05:30 UTC,,,
0FFNEA1GMB63M26JNBH9DT25Y3,0.16,2699863,2023-12-20 22:05:36 UTC,,,
0FFNEA3E0JXQ7K2F39PH31R438,0.15,2699863,2023-12-20 22:05:43 UTC,,,
0FFNEA5BAM3PMX2JFH003JMZQR,0.13,2699863,2023-12-20 22:05:49 UTC,,,
0FFNEA78PYRCES3H75T42J09YT,0.14,2699863,2023-12-20 22:05:55 UTC,,,
0FFNEA9674JWHCAB55VZQ93FEV,0.14,2699863,2023-12-20 22:06:01 UTC,,,
0FFNEAB3T9Z3QM43D4G4Y1727G,0.14,2699863,2023-12-20 22:06:08 UTC,,,
0FFNEAD0WMNP1T9CRGFAQTYEAE,0.13,2699863,2023-12-20 22:06:14 UTC,,,
0FFNEAEY7TR04W4YK7QNW40WY3,0.12,2699863,2023-12-20 22:06:20 UTC,,,
0FFNEAGVR98E9JC3ZG0BV4H19P,0.13,2699863,2023-12-20 22:06:27 UTC,,,
0FFNEAJSDQCRN1EK6V48SNBS28,0.13,2699863,2023-12-20 22:06:33 UTC,,,
0FFNEAMPE88BYEY6NGMGESJP06,0.14,2699863,2023-12-20 22:06:39 UTC,,,
0FFNEAPKVZ900W3ZE0WWF1GFHZ,0.14,2699863,2023-12-20 22:06:45 UTC,,,
0FFNEARHAKQ0NKVWEBFDT1NASZ,0.14,2699863,2023-12-20 22:06:52 UTC,,,
0FFNEATEKESZ66C67TQZYZ2HMG,0.13,2699863,2023-12-20 22:06:58 UTC,,,
0FFNEAWC69W48D92GRAGFS1SQA,0.15,2699863,2023-12-20 22:07:04 UTC,,,
0FFNEAY9CH5TK2XR91JAFA8BBT,0.16,2699863,2023-12-20 22:07:11 UTC,,,
0FFNEB06W8DNQ19ECBQTGWSDM8,0.16,2699863,2023-12-20 22:07:17 UTC,,,
0FFNEB244FDG02WRN8193G5M8B,0.17,2699863,2023-12-20 22:07:23 UTC,,,
0FFNEB41HBB86NWSXC7E9V9K4H,0.15,2699863,2023-12-20 22:07:29 UTC,,,
0FFNEB5YXW3445JDY5PTGWX2TA,0.68,2699863,2023-12-20 22:07:36 UTC,,,
0FFNEB7WC7KBYNR8VYBFFJAZF1,1.79,2699863,2023-12-20 22:07:42 UTC,,,
0FFNEB9SPA2W1HK4K5ENGQ3R4J,2.28,2699863,2023-12-20 22:07:48 UTC,,,
0FFNEBBQ4BDPZKD4SJW1WDA2CK,2.60,2699863,2023-12-20 22:07:55 UTC,,,
0FFNEBDMHQXZV47E1HRN40EWDV,2.59,2699863,2023-12-20 22:08:01 UTC,,,
0FFNEBFHYT6G3Y58DB8YF61WJM,2.52,2699863,2023-12-20 22:08:07 UTC,,,
0FFNEBHF8K40KKCEVMX8Z8TEFZ,2.41,2699863,2023-12-20 22:08:13 UTC,,,
0FFNEBKCQY41ZPFGVCAJD6YGWP,2.15,2699863,2023-12-20 22:08:20 UTC,,,
0FFNEBNA0X4QRSXFGQT1AKRRH8,2.10,2699863,2023-12-20 22:08:26 UTC,,,
0FFNEBQ7E2Y7ZGR1WRTJ5VZ79M,1.82,2699863,2023-12-20 22:08:32 UTC,,,
0FFNEBS4WD8F48Q784KQC64SEZ,1.72,2699863,2023-12-20 22:08:39 UTC,,,
0FFNEBV275RWJGBK8XF5FVF5MZ,1.47,2699863,2023-12-20 22:08:45 UTC,,,
0FFNEBWZM1V24E4AMY0W4E147H,1.32,2699863,2023-12-20 22:08:51 UTC,,,
0FFNEBYX15Y460YN4FWRKC29QV,1.22,2699863,2023-12-20 22:08:57 UTC,,,
0FFNEC0TDME1KFW435SQK4P5E7,1.16,2699863,2023-12-20 22:09:04 UTC,,,
0FFNEC2QRA5KBDCYPMMX7NV6QN,1.25,2699863,2023-12-20 22:09:10 UTC,,,
0FFNEC4N604CRG4A9RGYD3MR3X,1.11,2699863,2023-12-20 22:09:16 UTC,,,
0FFNEC6JKBXY40DK9W262QP8HX,1.00,2699863,2023-12-20 22:09:23 UTC,,,
0FFNEC8G1C0PWJ3NXXYZ2X510K,1.10,2699863,2023-12-20 22:09:29 UTC,,,
0FFNECADACKXW9T1NC46DVNPK8,1.16,2699863,2023-12-20 22:09:35 UTC,,,
0FFNECCAR1354KM0BCB5DPMVSQ,1.05,2699863,2023-12-20 22:09:41 UTC,,,
0FFNECE84XZACY57JP679GXDQB,0.96,2699863,2023-12-20 22:09:48 UTC,,,
0FFNECG5K90SKZQJ871316SKM2,0.85,2699863,2023-12-20 22:09:54 UTC,,,
0FFNECJ31KG7WMEME09PNJAN3R,0.78,2699863,2023-12-20 22:10:00 UTC,,,
0FFNECM0B6GDNG7RMNPA1NPHXW,0.74,2699863,2023-12-20 22:10:07 UTC,,,
0FFNECNXQ1CD3VW5981B7EJ4VK,0.74,2699863,2023-12-20 22:10:13 UTC,,,
0FFNECQV45SGG3FSNK9DA5DZ1Z,0.76,2699863,2023-12-20 22:10:19 UTC,,,
0FFNECSRE928MVPB1M1D8NB0CE,0.76,2699863,2023-12-20 22:10:25 UTC,,,
0FFNECVNVH4Q17E95W7WRW21KP,0.75,2699863,2023-12-20 22:10:32 UTC,,,
0FFNECXK8DZSWZSS4BW77QNFZB,0.72,2699863,2023-12-20 22:10:38 UTC,,,
0FFNECZGQKV60FPAM4AK8Q0VVY,0.70,2699863,2023-12-20 22:10:44 UTC,,,
0FFNED1E11T0R0G06T4NYJWE4Q,0.67,2699863,2023-12-20 22:10:51 UTC,,,
0FFNED3BEX4P28Y0R1WQH93GRW,0.65,2699863,2023-12-20 22:10:57 UTC,,,
0FFNED58SYXE232XMKMP5TZK8C,0.69,2699863,2023-12-20 22:11:03 UTC,,,
0FFNED767HPN4R87X0NK0V63PS,0.68,2699863,2023-12-20 22:11:09 UTC,,,
0FFNED93KQ4VNC7SE28N52J86A,0.65,2699863,2023-12-20 22:11:16 UTC,,,
0FFNEDB10KN1PMK0KAPKSR3PCG,0.63,2699863,2023-12-20 22:11:22 UTC,,,
0FFNEDCYCGGMRTZ3SXMN7RSQPM,0.56,2699863,2023-12-20 22:11:28 UTC,,,
0FFNEDEVR9VA2QYVD3AG9RM62Y,0.56,2699863,2023-12-20 22:11:35 UTC,,,
