id,value,feed_id,created_at,lat,lon,ele
0FFNE84RRXMFAHGY6YGYHGK3ZK,2.97,2699864,2023-12-20 22:02:17 UTC,,,
0FFNE86P8DKWMCRW06QF9HM82V,2.96,2699864,2023-12-20 22:02:24 UTC,,,
0FFNE88KF7DE26WDG7C1TV8P0H,3.04,2699864,2023-12-20 22:02:30 UTC,,,
0FFNE8AGX19M5YM34Z9E8XV8YS,3.02,2699864,2023-12-20 22:02:36 UTC,,,
0FFNE8CE92H3H9S51H3EQ9MXA1,2.99,2699864,2023-12-20 22:02:42 UTC,,,
0FFNE8EBSAW8K5Y3B2N4XSYFK3,3.00,2699864,2023-12-20 22:02:49 UTC,,,
0FFNE8G92T7DXWPFRY9QDTSBZW,3.26,2699864,2023-12-20 22:02:55 UTC,,,
0FFNE8J6HWHAHAAZZD4E09EE3H,3.59,2699864,2023-12-20 22:03:01 UTC,,,
0FFNE8M3TXH7CFX0YS41QYNV4P,3.50,2699864,2023-12-20 22:03:08 UTC,,,
0FFNE8P1AC0710V9GQWPAGR444,3.44,2699864,2023-12-20 22:03:14 UTC,,,
0FFNE8QYP01JB0B744473PFYNB,3.24,2699864,2023-12-20 22:03:20 UTC,,,
0FFNE8SVYR1VM9SJRHRCCCY0VV,3.28,2699864,2023-12-20 22:03:26 UTC,,,
0FFNE8VSCNJ7MGZX2H0MF75E1X,3.34,2699864,2023-12-20 22:03:33 UTC,,,
0FFNE8XPRM58H1WZ067MAYX13K,3.39,2699864,2023-12-20 22:03:39 UTC,,,
0FFNE8ZM6CZ4JR1SE0Z9VR9099,3.68,2699864,2023-12-20 22:03:45 UTC,,,
0FFNE91HHDBG604DK7GJ7VERBR,3.73,2699864,2023-12-20 22:03:52 UTC,,,
0FFNE93EZSCQDF9YC1XNEPBZSD,3.54,2699864,2023-12-20 22:03:58 UTC,,,
0FFNE95CAY1K38T9V5WTD4R9XV,3.46,2699864,2023-12-20 22:04:04 UTC,,,
0FFNE979Q6XP6J3GMZ2EY6Z05Y,3.45,2699864,2023-12-20 22:04:10 UTC,,,
0FFNE99740RGVKDX3PW4GGFYH0,3.35,2699864,2023-12-20 22:04:17 UTC,,,
0FFNE9B4G8H103DFYFG6WR0AK3,3.33,2699864,2023-12-20 22:04:23 UTC,,,
0FFNE9D1WA2H6AFWRARX9DBGDV,3.22,2699864,2023-12-20 22:04:29 UTC,,,
0FFNE9EZEHN15V78E56YRV36DR,3.02,2699864,2023-12-20 22:04:36 UTC,,,
0FFNE9GWSCQ15N1H23XQP3MK03,3.13,2699864,2023-12-20 22:04:42 UTC,,,
0FFNE9JT1FSYF3G1MKC8D8VBRZ,3.13,2699864,2023-12-20 22:04:48 UTC,,,
0FFNE9MQF0BCZVQQFAWHCXHNMT,3.01,2699864,2023-12-20 22:04:54 UTC,,,
0FFNE9PMV1MKV9YDGWFKET2VN5,2.91,2699864,2023-12-20 22:05:01 UTC,,,
0FFNE9RJBAGX6HH499M5WD6090,2.82,2699864,2023-12-20 22:05:07 UTC,,,
0FFNE9TFNC08NPV67TCD1C1J2X,2.94,2699864,2023-12-20 22:05:13 UTC,,,
0FFNE9WCZ81RYE9P7RMBKR8WSZ,2.64,2699864,2023-12-20 22:05:20 UTC,,,
0FFNE9YAJMMYAWBAW6SYS0W4SK,2.20,2699864,2023-12-20 22:05:26 UTC,,,
0FFNEA07T180F609PATYYTFW4N,2.01,2699864,2023-12-20 22:05:32 UTC,,,
0FFNEA254T86YEA6Z9VHENT4XY,2.08,2699864,2023-12-20 22:05:38 UTC,,,
0FFNEA42HV9H9A8X3H4DDASSFH,1.91,2699864,2023-12-20 22:05:45 UTC,,,
0FFNEA600MFE7DKCDP1DN71R9F,1.69,2699864,2023-12-20 22:05:51 UTC,,,
0FFNEA7XB48FBMJ8FRM8V1Z012,1.77,2699864,2023-12-20 22:05:57 UTC,,,
0FFNEA9TS6HQZT3A9EAAYPP85Q,1.79,2699864,2023-12-20 22:06:04 UTC,,,
0FFNEABR3WVSPEB51X75GB5QBK,1.74,2699864,2023-12-20 22:06:10 UTC,,,
0FFNEADNFKNCR2CHGRTEHM6C9H,1.64,2699864,2023-12-20 22:06:16 UTC,,,
0FFNEAFJVSJQZX67SCDXYBAAFZ,1.48,2699864,2023-12-20 22:06:22 UTC,,,
0FFNEAHGD8WB5ETG5YEJ88084H,1.54,2699864,2023-12-20 22:06:29 UTC,,,
0FFNEAKDQ06MKJ0CXQW438JFXR,1.60,2699864,2023-12-20 22:06:35 UTC,,,
0FFNEANB6VWY3TTQNYZ232VCQH,1.64,2699864,2023-12-20 22:06:41 UTC,,,
0FFNEAQ8F75RQ67XP33PEDWYXT,1.71,2699864,2023-12-20 22:06:48 UTC,,,
0FFNEAS5WNS7ZTDEMEH5VB001V,1.61,2699864,2023-12-20 22:06:54 UTC,,,
0FFNEAV38H4CET0N1V81ANXERP,1.55,2699864,2023-12-20 22:07:00 UTC,,,
0FFNEAX0MAS2AQZ8VPE0KM2P1B,1.80,2699864,2023-12-20 22:07:06 UTC,,,
0FFNEAYXZEM34BEBMHV921HKE5,1.87,2699864,2023-12-20 22:07:13 UTC,,,
0FFNEB0VCVHAX14MZTFCTVSRS5,1.84,2699864,2023-12-20 22:07:19 UTC,,,
0FFNEB2RRDN4GDBGJ44KYK2BVD,1.91,2699864,2023-12-20 22:07:25 UTC,,,
0FFNEB4P6FAEXAZH8SNR293Z3S,1.73,2699864,2023-12-20 22:07:32 UTC,,,
0FFNEB6KJVB1WXFSW7JDYKM96Y,7.73,2699864,2023-12-20 22:07:38 UTC,,,
0FFNEB8H32SXCWRV866G9KR0ZQ,21.31,2699864,2023-12-20 22:07:44 UTC,,,
0FFNEBAEA9V7YZ1TBHS00BXXFE,29.12,2699864,2023-12-20 22:07:50 UTC,,,
0FFNEBCBQCDBWCYAK0NMK01A6J,38.92,2699864,2023-12-20 22:07:57 UTC,,,
0FFNEBE94HV7CVX6VFFNGWRH24,42.79,2699864,2023-12-20 22:08:03 UTC,,,
0FFNEBG6HC80WPGE2GNQKA1P24,43.28,2699864,2023-12-20 22:08:09 UTC,,,
0FFNEBJ3YY5FH3411MG50KK1WR,41.82,2699864,2023-12-20 22:08:16 UTC,,,
0FFNEBM19KGCM5AKZ1J24199TP,37.43,2699864,2023-12-20 22:08:22 UTC,,,
0FFNEBNYRFFWP19KF0DHN6SGGS,33.85,2699864,2023-12-20 22:08:28 UTC,,,
0FFNEBQW2QT6YEPRWVKS61DVFZ,29.26,2699864,2023-12-20 22:08:34 UTC,,,
0FFNEBSSFY1KSQTKVK45YCZCGM,26.50,2699864,2023-12-20 22:08:41 UTC,,,
0FFNEBVPTWQYZAYAR0VSXARV3R,23.97,2699864,2023-12-20 22:08:47 UTC,,,
0FFNEBXM77NBP3RR7JWATQ607F,22.33,2699864,2023-12-20 22:08:53 UTC,,,
0FFNEBZHKN1APQ67ATGH66Z3ZX,21.12,2699864,2023-12-20 22:09:00 UTC,,,
0FFNEC1F084JF80R0JTYNZ0CD5,20.16,2699864,2023-12-20 22:09:06 UTC,,,
0FFNEC3CCPQCCB6F3E2SDP00YD,19.04,2699864,2023-12-20 22:09:12 UTC,,,
0FFNEC59TND8FZDWGH79CRTB22,17.84,2699864,2023-12-20 22:09:18 UTC,,,
0FFNEC777F20078688A4AXHSGM,17.04,2699864,2023-12-20 22:09:25 UTC,,,
0FFNEC94HBVHNXVR1395KPMAK5,16.62,2699864,2023-12-20 22:09:31 UTC,,,
0FFNECB202NJBH7PG5NWS5KRPY,16.73,2699864,2023-12-20 22:09:37 UTC,,,
0FFNECCZBBXEGW6R9WC1GAGA26,16.03,2699864,2023-12-20 22:09:44 UTC,,,
0FFNECEWVD2JFVVCN5D235XT7T,15.10,2699864,2023-12-20 22:09:50 UTC,,,
0FFNECGT5V2T39RK43A06WF2T7,14.32,2699864,2023-12-20 22:09:56 UTC,,,
0FFNECJQG1DNC1ZJNRGEJJMA7H,13.53,2699864,2023-12-20 22:10:02 UTC,,,
0FFNECMMYGK8041CQRSNKHYGEH,12.89,2699864,2023-12-20 22:10:09 UTC,,,
0FFNECPJA9NQ0QXKDBDX1WVCFZ,12.80,2699864,2023-12-20 22:10:15 UTC,,,
0FFNECRFQF1T6B25TH4NQFYR56,13.31,2699864,2023-12-20 22:10:21 UTC,,,
0FFNECTD3BN5M4KG3WH3KGP3PV,13.31,2699864,2023-12-20 22:10:28 UTC,,,
0FFNECWAF64JBRGKM78Y63J2TQ,13.00,2699864,2023-12-20 22:10:34 UTC,,,
0FFNECY7V5HV8SK4JWME4FYVK5,12.51,2699864,2023-12-20 22:10:40 UTC,,,
0FFNED058XW40ZBC98NWPGCJ6P,12.15,2699864,2023-12-20 22:10:46 UTC,,,
0FFNED22Q6PVHQ3YECSR1E5BZW,11.74,2699864,2023-12-20 22:10:53 UTC,,,
0FFNED400H78B3V625YMT4YVWQ,11.37,2699864,2023-12-20 22:10:59 UTC,,,
0FFNED5XDW0R3KQSCHQRVMJ9WJ,10.50,2699864,2023-12-20 22:11:05 UTC,,,
0FFNED7TSG0EB6RCJEXK8H2RC8,9.33,2699864,2023-12-20 22:11:12 UTC,,,
0FFNED9R80J30RBYMN2Y0GHFPH,8.75,2699864,2023-12-20 22:11:18 UTC,,,
0FFNEDBP081ZYDJBVK7K3C6FMN,7.94,2699864,2023-12-20 22:11:24 UTC,,,
