id,value,feed_id,Time Stemp,lat,lon,ele
0FFMK2GQ2NFEVNFBD5WBZRD2ZD,130.38,2699033,2023-12-19 20:42:30 UTC,,,
0FFMK2JMJTR2VXXN2WBA6T3Q1K,124.92,2699033,2023-12-19 20:42:37 UTC,,,
0FFMK2MHWTK9JGGRJ7Z7GYYJ9S,97.20,2699033,2023-12-19 20:42:43 UTC,,,
0FFMK2PF63NZP0PT198068YFMJ,72.75,2699033,2023-12-19 20:42:49 UTC,,,
0FFMK2RCPHH89V4W9SCFH7W52V,60.78,2699033,2023-12-19 20:42:55 UTC,,,
0FFMK2TA36D0FPJ1JQ368Q8Q5G,59.89,2699033,2023-12-19 20:43:02 UTC,,,
0FFMK2W7E1Y8EBV1S7CGDPFC2D,59.98,2699033,2023-12-19 20:43:08 UTC,,,
0FFMK2Y4Z1HYS20HA2JMJ7VWMW,61.33,2699033,2023-12-19 20:43:14 UTC,,,
0FFMK302592KKBCCZAPGHF5FV2,60.51,2699033,2023-12-19 20:43:21 UTC,,,
0FFMK31ZJT88Z82Z96TZ1NTBG3,77.03,2699033,2023-12-19 20:43:27 UTC,,,
0FFMK33WZAQJ0WTD7KYWMB318W,75.43,2699033,2023-12-19 20:43:33 UTC,,,
0FFMK35TDQ08NYG06FF1XHJAXJ,69.94,2699033,2023-12-19 20:43:39 UTC,,,
0FFMK37QVXAD5PF681T1JHP6KA,79.83,2699033,2023-12-19 20:43:46 UTC,,,
0FFMK39N428HHP50MVX0VR8EHG,117.93,2699033,2023-12-19 20:43:52 UTC,,,
0FFMK3BJJG0PFRVG48TQZ213NX,126.25,2699033,2023-12-19 20:43:58 UTC,,,
0FFMK3DFY0C8H4TG49A6GR80S9,99.01,2699033,2023-12-19 20:44:05 UTC,,,
0FFMK3FD9CBEBRNQJS2BW908AQ,95.02,2699033,2023-12-19 20:44:11 UTC,,,
0FFMK3HAV88W36JGYTVVR06343,84.32,2699033,2023-12-19 20:44:17 UTC,,,
0FFMK3K87S1WS8NFDXDDQ3Z2S7,74.44,2699033,2023-12-19 20:44:23 UTC,,,
0FFMK3N5HD1V5DEJJH08VBK0C5,78.79,2699033,2023-12-19 20:44:30 UTC,,,
0FFMK3Q2YB45RHGFXAQ7Y56ZMZ,82.04,2699033,2023-12-19 20:44:36 UTC,,,
0FFMK3S0BTHEKDXNAPPK0ZSQ7C,114.59,2699033,2023-12-19 20:44:42 UTC,,,
0FFMK3TXQYX6X05X1DW6T3NC43,68.19,2699033,2023-12-19 20:44:49 UTC,,,
0FFMK3WV3C5G20GQJCFQEGTTTW,63.52,2699033,2023-12-19 20:44:55 UTC,,,
0FFMK3YRF83E49RWR0XB161FPH,63.13,2699033,2023-12-19 20:45:01 UTC,,,
0FFMK40NXHTEBP4VZHE06GCFR7,64.40,2699033,2023-12-19 20:45:07 UTC,,,
0FFMK42K8FYEV3PNPZZ2X4KZY4,71.03,2699033,2023-12-19 20:45:14 UTC,,,
0FFMK44GSB0G5H5HNQ1KC62MCX,115.23,2699033,2023-12-19 20:45:20 UTC,,,
0FFMK46E2BX00R650BT3T1NWF0,79.07,2699033,2023-12-19 20:45:26 UTC,,,
0FFMK48BF7H6AZ35P1VZBAWQM5,74.71,2699033,2023-12-19 20:45:33 UTC,,,
0FFMK4A8Z1Z7Q8JBVR6AXD0TEV,85.04,2699033,2023-12-19 20:45:39 UTC,,,
0FFMK4C65HPBAGSQ28Y4QDHC74,95.56,2699033,2023-12-19 20:45:45 UTC,,,
0FFMK4E3NX5Y5J1QCFH2GNHX48,103.82,2699033,2023-12-19 20:45:51 UTC,,,
0FFMK4G15D41YR6P5CCE1ZXK7M,115.86,2699033,2023-12-19 20:45:58 UTC,,,
0FFMK4HYQ2V8MXHR13YDWBR299,94.70,2699033,2023-12-19 20:46:04 UTC,,,
