si,pga,x,y,z,time,erdbeben
0,0,-13.00,-145.00,6.00,190024,0
0,0,-9.00,-129.00,4.00,190048,0
0,0,-25.00,-135.00,22.00,190071,0
0,0,-25.00,-137.00,16.00,190095,0
0,0,-37.00,-139.00,8.00,190118,0
0,0,-25.00,-149.00,10.00,190141,0
0,0,-7.00,-143.00,20.00,190165,0
0,0,-25.00,-129.00,8.00,190189,0
0,0,-17.00,-115.00,22.00,190212,0
0,0,-11.00,-135.00,36.00,190235,0
0,0,-13.00,-141.00,22.00,190259,0
0,0,-21.00,-145.00,10.00,190282,0
0,0,-31.00,-137.00,38.00,190305,0
0,0,-37.00,-137.00,20.00,190328,0
0,0,-19.00,-129.00,22.00,190351,0
0,0,-11.00,-135.00,26.00,190374,0
0,0,-5.00,-137.00,12.00,190418,0
0,0,3.00,-133.00,46.00,190441,0
0,0,-25.00,-137.00,26.00,190465,0
0,0,-21.00,-141.00,16.00,190488,0
0,0,-45.00,-149.00,26.00,190511,0
0,0,-25.00,-139.00,28.00,190535,0
0,0,-9.00,-131.00,12.00,190558,0
0,0,-9.00,-141.00,4.00,190581,0
0,0,-19.00,-129.00,30.00,190605,0
0,0,-19.00,-143.00,26.00,190628,0
0,0,-13.00,-137.00,16.00,190651,0
0,0,-19.00,-131.00,26.00,190674,0
0,0,-37.00,-135.00,14.00,190697,0
0,0,-35.00,-125.00,8.00,190720,0
0.00,0.00,-25.00,-135.00,26.00,191027,1
0.00,0.00,-31.00,-145.00,20.00,191093,1
0.00,0.00,-9.00,-127.00,26.00,191159,1
0.00,0.00,-19.00,-129.00,44.00,191224,1
0.00,0.00,-1.00,-221.00,-50.00,191290,1
0.00,0.00,-61.00,-153.00,14.00,191356,1
0.00,0.00,-13.00,-131.00,52.00,191421,1
0.00,0.00,-41.00,-123.00,-28.00,191486,1
0.00,0.00,-9.00,-101.00,50.00,191551,1
0.00,0.00,-15.00,-161.00,8.00,191637,1
0,0,-27.00,-113.00,14.00,191660,0
0,0,19.00,-115.00,36.00,191684,0
0,0,-19.00,-137.00,20.00,191707,0
0,0,-23.00,-143.00,6.00,191730,0
0,0,-15.00,-153.00,38.00,191753,0
0,0,-29.00,-137.00,54.00,191777,0
0,0,-25.00,-129.00,26.00,191800,0
0,0,-29.00,-151.00,-10.00,191824,0
0,0,-5.00,-143.00,-8.00,191848,0
0,0,1.00,-129.00,0.00,191871,0
0,0,-25.00,-133.00,10.00,191895,0
0,0,-17.00,-147.00,16.00,191919,0
0,0,-9.00,-141.00,14.00,191942,0
0,0,-23.00,-129.00,26.00,191966,0
0,0,-19.00,-145.00,4.00,191990,0
0,0,-17.00,-157.00,-12.00,192013,0
0,0,-9.00,-147.00,22.00,192037,0
0,0,-7.00,-129.00,28.00,192060,0
0,0,-13.00,-133.00,28.00,192084,0
0,0,-3.00,-145.00,-14.00,192108,0
0,0,-33.00,-147.00,8.00,192131,0
0,0,-27.00,-135.00,30.00,192155,0
0,0,-35.00,-151.00,20.00,192178,0
0,0,-15.00,-133.00,22.00,192201,0
0,0,-17.00,-135.00,20.00,192226,0
0,0,-21.00,-139.00,18.00,192249,0
0,0,-31.00,-147.00,42.00,192273,0
0,0,-7.00,-133.00,4.00,192296,0
0,0,-27.00,-137.00,30.00,192320,0
0,0,-53.00,-131.00,16.00,192343,0
0,0,-19.00,-139.00,16.00,192366,0
0,0,-21.00,-145.00,4.00,192390,0
0,0,-9.00,-133.00,14.00,192413,0
0,0,-43.00,-127.00,8.00,192436,0
0,0,-25.00,-129.00,14.00,192459,0
0,0,-5.00,-141.00,30.00,192483,0
0,0,-19.00,-137.00,20.00,192506,0
0,0,-21.00,-127.00,2.00,192529,0
0,0,-31.00,-125.00,12.00,192552,0
0,0,-21.00,-145.00,26.00,192576,0
0,0,-21.00,-131.00,8.00,192599,0
0,0,-7.00,-137.00,4.00,192623,0
0,0,-29.00,-141.00,18.00,192646,0
0,0,-23.00,-145.00,14.00,192669,0
0,0,-3.00,-137.00,26.00,192693,0
0,0,-15.00,-137.00,30.00,192716,0
0,0,-27.00,-129.00,14.00,192740,0
0,0,-25.00,-135.00,24.00,192763,0
0,0,-25.00,-133.00,14.00,192787,0
0,0,-13.00,-139.00,6.00,192811,0
0,0,-21.00,-141.00,24.00,192854,0
0,0,-23.00,-135.00,20.00,192878,0
0,0,-27.00,-133.00,56.00,192901,0
0,0,-19.00,-137.00,32.00,192925,0
0,0,-23.00,-125.00,64.00,192949,0
0,0,-17.00,-139.00,28.00,192972,0
0,0,-5.00,-133.00,30.00,192995,0
0,0,-23.00,-141.00,10.00,193019,0
0,0,-25.00,-135.00,24.00,193042,0
0,0,-31.00,-139.00,-4.00,193066,0
0,0,-5.00,-141.00,48.00,193089,0
0,0,-41.00,-129.00,42.00,193112,0
0,0,-23.00,-137.00,18.00,193136,0
0,0,-13.00,-143.00,28.00,193159,0
0,0,-23.00,-135.00,32.00,193183,0
0,0,-29.00,-161.00,32.00,193206,0
0,0,-13.00,-123.00,10.00,193230,0
0,0,-17.00,-143.00,-12.00,193253,0
0,0,-15.00,-155.00,22.00,193277,0
0,0,-17.00,-139.00,26.00,193300,0
0,0,-9.00,-145.00,12.00,193323,0
0,0,-35.00,-141.00,12.00,193347,0
0,0,-25.00,-125.00,36.00,193370,0
0,0,-17.00,-133.00,2.00,193393,0
0,0,-39.00,-131.00,22.00,193416,0
0,0,-19.00,-153.00,32.00,193439,0
0,0,-73.00,-135.00,8.00,193462,0
0,0,621.00,-213.00,402.00,193505,0
0,0,451.00,71.00,344.00,193528,0
0,0,375.00,323.00,342.00,193551,0
0,0,-249.00,-69.00,-212.00,193574,0
0,0,197.00,-145.00,150.00,193597,0
0,0,65.00,-197.00,108.00,193620,0
0,0,27.00,-103.00,-30.00,193643,0
0,0,69.00,157.00,388.00,193666,0
0,0,-25.00,65.00,88.00,193689,0
0,0,57.00,15.00,340.00,193712,0
0,0,-83.00,-275.00,118.00,193735,0
0,0,13.00,-89.00,-162.00,193759,0
0,0,-23.00,-229.00,-246.00,193781,0
0,0,-15.00,-65.00,10.00,193806,0
0.00,0.00,-173.00,-81.00,-130.00,193891,1
0.00,0.00,-249.00,-199.00,-294.00,193956,1
0.00,0.00,-319.00,-135.00,114.00,194020,1
0.00,0.00,261.00,-47.00,56.00,194085,1
0.00,0.00,-29.00,-187.00,20.00,194151,1
0.00,0.00,-29.00,-141.00,100.00,194216,1
0.00,0.00,-9.00,-121.00,-2.00,194281,1
0.00,0.00,-5.00,-71.00,18.00,194346,1
0.00,0.00,-3.00,-127.00,12.00,194411,1
0.00,0.00,-21.00,-147.00,22.00,194496,1
0,0,-31.00,-131.00,46.00,194519,0
0,0,-25.00,-129.00,22.00,194543,0
0,0,-639.00,-235.00,-208.00,194566,0
0,0,-191.00,-179.00,-20.00,194589,0
0,0,-407.00,-347.00,58.00,194613,0
0,0,-665.00,-205.00,284.00,194636,0
0,0,251.00,-289.00,-276.00,194659,0
0,0,-281.00,-281.00,-246.00,194683,0
0,0,-25.00,-45.00,26.00,194706,0
0,0,139.00,75.00,216.00,194749,0
0,0,-23.00,107.00,304.00,194772,0
0,0,299.00,293.00,-274.00,194796,0
0,0,123.00,289.00,-710.00,194819,0
0,0,-279.00,-205.00,-240.00,194842,0
0,0,-195.00,-99.00,138.00,194865,0
0,0,-193.00,-107.00,256.00,194888,0
