si,pga,x,y,z,time,erdbeben
0,0,-19.00,-135.00,24.00,331854,0
0,0,-27.00,-147.00,22.00,331877,0
0,0,-1.00,-139.00,16.00,331900,0
0,0,-17.00,-133.00,36.00,331923,0
0,0,-9.00,-149.00,0.00,331946,0
0,0,-15.00,-139.00,20.00,331969,0
0,0,-19.00,-139.00,-8.00,331993,0
0,0,-19.00,-153.00,28.00,332016,0
0,0,-9.00,-129.00,24.00,332039,0
0,0,-27.00,-133.00,18.00,332062,0
0,0,-13.00,-105.00,24.00,332085,0
0,0,-23.00,-137.00,4.00,332108,0
0,0,-25.00,-147.00,24.00,332131,0
0,0,-15.00,-139.00,-6.00,332154,0
0,0,-13.00,-145.00,2.00,332178,0
0.00,0.00,-19.00,-133.00,38.00,332464,1
0.00,0.00,-21.00,-143.00,14.00,332529,1
0.00,0.00,-11.00,-143.00,36.00,332594,1
0.00,0.00,-7.00,-137.00,22.00,332659,1
0.00,0.00,-19.00,-139.00,20.00,332724,1
0.00,0.00,-13.00,-115.00,32.00,332790,1
0.00,0.00,-11.00,-133.00,30.00,332855,1
0.00,0.00,-9.00,-133.00,-4.00,332921,1
0.00,0.00,-207.00,-215.00,-248.00,332986,1
0.00,0.00,-41.00,-143.00,6.00,333071,1
0,0,-17.00,-129.00,26.00,333094,0
0,0,99.00,-355.00,60.00,333118,0
0,0,-5.00,-127.00,40.00,333141,0
0,0,-3.00,-109.00,-80.00,333165,0
0,0,-27.00,-141.00,-32.00,333189,0
0,0,3.00,-121.00,74.00,333213,0
0,0,-11.00,-103.00,10.00,333236,0
0,0,-29.00,-145.00,-32.00,333260,0
0,0,-9.00,-151.00,26.00,333283,0
0,0,-27.00,-129.00,10.00,333327,0
0,0,-15.00,-129.00,-6.00,333350,0
0,0,-11.00,-151.00,52.00,333374,0
0,0,1.00,-147.00,36.00,333397,0
0,0,-13.00,-107.00,8.00,333420,0
0,0,-9.00,-123.00,10.00,333443,0
0,0,-17.00,-151.00,-20.00,333467,0
0,0,-11.00,-151.00,34.00,333491,0
0,0,-21.00,-131.00,20.00,333514,0
0,0,-31.00,-123.00,34.00,333537,0
0,0,-9.00,-145.00,20.00,333561,0
0,0,-7.00,-143.00,20.00,333585,0
0,0,-9.00,-133.00,28.00,333608,0
