si,pga,x,y,z,time,erdbeben
0,0,-6.00,-30.00,20.00,21191,0
0,0,-10.00,-34.00,36.00,21214,0
0,0,-4.00,-42.00,18.00,21238,0
0,0,-14.00,-34.00,38.00,21261,0
0,0,-10.00,-34.00,12.00,21284,0
0,0,4.00,-32.00,16.00,21308,0
0,0,-28.00,-38.00,24.00,21331,0
0,0,-14.00,-46.00,26.00,21354,0
0,0,-6.00,-34.00,12.00,21377,0
0,0,-22.00,-36.00,32.00,21400,0
0,0,-16.00,-44.00,18.00,21424,0
0,0,-22.00,-40.00,32.00,21448,0
0,0,-2.00,-36.00,28.00,21471,0
0,0,-16.00,-46.00,12.00,21495,0
0,0,-8.00,-46.00,8.00,21519,0
0,0,-10.00,-42.00,38.00,21543,0
0,0,-16.00,-40.00,10.00,21566,0
0,0,-22.00,-30.00,30.00,21590,0
0,0,-12.00,-32.00,60.00,21613,0
0,0,-24.00,-48.00,24.00,21637,0
0,0,-30.00,-58.00,22.00,21660,0
0,0,-2.00,-42.00,32.00,21684,0
0,0,-360.00,-376.00,2638.00,21707,0
0,0,80.00,-840.00,-520.00,21731,0
0,0,-114.00,362.00,1056.00,21755,0
0,0,108.00,32.00,-434.00,21778,0
0,0,22.00,160.00,874.00,21802,0
0,0,-8.00,-80.00,-376.00,21826,0
0,0,34.00,-278.00,254.00,21849,0
0,0,-98.00,-40.00,-386.00,21873,0
0,0,124.00,72.00,112.00,21897,0
0,0,-176.00,148.00,136.00,21920,0
0,0,124.00,12.00,-28.00,21943,0
0,0,-62.00,-314.00,94.00,21967,0
0,0,64.00,-144.00,106.00,21991,0
0,0,-74.00,36.00,42.00,22014,0
0,0,-4.00,98.00,56.00,22038,0
0,0,68.00,116.00,-78.00,22062,0
0,0,-10.00,-100.00,-84.00,22086,0
0,0,80.00,-152.00,-230.00,22109,0
0,0,-50.00,-48.00,16.00,22133,0
0,0,34.00,72.00,-32.00,22157,0
0,0,-66.00,20.00,118.00,22180,0
0,0,56.00,-44.00,-110.00,22204,0
0,0,-46.00,-166.00,50.00,22227,0
0,0,-18.00,-34.00,-40.00,22251,0
0,0,6.00,6.00,70.00,22275,0
0,0,-12.00,10.00,86.00,22298,0
0,0,-36.00,-8.00,-48.00,22322,0
0,0,-12.00,-154.00,68.00,22346,0
0,0,6.00,-90.00,-38.00,22369,0
0,0,-28.00,-8.00,82.00,22393,0
0,0,-2.00,86.00,-74.00,22416,0
0,0,-36.00,-10.00,110.00,22440,0
0,0,58.00,-114.00,-10.00,22464,0
0,0,-36.00,-128.00,42.00,22488,0
0,0,96.00,782.00,-1070.00,22512,0
0,0,196.00,20.00,-940.00,22535,0
0,0,62.00,24.00,-1110.00,22559,0
0,0,-196.00,-316.00,146.00,22583,0
0,0,72.00,-12.00,674.00,22626,0
0,0,70.00,54.00,-196.00,22650,0
0,0,-98.00,-104.00,672.00,22674,0
0,0,-102.00,-22.00,-106.00,22698,0
0,0,54.00,12.00,282.00,22721,0
0,0,-164.00,152.00,-172.00,22744,0
0,0,92.00,80.00,-32.00,22768,0
0,0,4.00,-294.00,4.00,22792,0
