si,pga,x,y,z,time,erdbeben
0.00,0.00,30.00,-12.00,1.00,170391,1
0.00,0.00,28.00,-10.00,-3.00,170456,1
0.00,0.00,-34.00,24.00,-3.00,170521,1
0.00,0.00,-20.00,8.00,7.00,170586,1
0.00,0.00,4.00,30.00,-3.00,170652,1
0.00,0.00,-16.00,-8.00,5.00,170717,1
0.00,0.00,16.00,0.00,21.00,170783,1
0.00,0.00,36.00,-40.00,7.00,170849,1
0.00,0.00,-12.00,-10.00,-15.00,170914,1
0.00,0.00,62.00,-22.00,-3.00,170980,1
0,0,-20.00,4.00,19.00,171003,0
0,0,-46.00,14.00,-1.00,171027,0
0,0,4.00,-8.00,-13.00,171050,0
0,0,16.00,8.00,-11.00,171073,0
0,0,34.00,44.00,-1.00,171096,0
0,0,-8.00,8.00,7.00,171119,0
0,0,-62.00,-4.00,-7.00,171142,0
0,0,8.00,-14.00,11.00,171165,0
0,0,66.00,8.00,-15.00,171188,0
0,0,-2.00,22.00,-3.00,171211,0
0,0,-8.00,14.00,51.00,171234,0
0,0,-38.00,28.00,21.00,171257,0
0,0,6.00,-6.00,1.00,171280,0
0,0,32.00,-38.00,-11.00,171304,0
0,0,34.00,-8.00,37.00,171327,0
0,0,-32.00,-34.00,-5.00,171351,0
0,0,-42.00,52.00,-17.00,171374,0
0,0,10.00,6.00,-7.00,171397,0
0,0,12.00,20.00,3.00,171420,0
0,0,46.00,-12.00,-3.00,171443,0
0,0,-34.00,-20.00,-13.00,171467,0
0,0,-34.00,18.00,13.00,171490,0
0,0,10.00,10.00,-1.00,171513,0
0,0,40.00,14.00,-21.00,171536,0
0,0,24.00,8.00,3.00,171559,0
0,0,-34.00,32.00,-15.00,171583,0
0,0,-42.00,18.00,3.00,171606,0
0,0,16.00,0.00,-5.00,171629,0
0,0,46.00,-44.00,5.00,171652,0
0,0,12.00,-38.00,23.00,171675,0
0,0,-12.00,6.00,49.00,171698,0
0,0,-50.00,10.00,19.00,171721,0
0,0,28.00,76.00,9.00,171744,0
0,0,30.00,-22.00,31.00,171767,0
0,0,-12.00,8.00,5.00,171791,0
0,0,-12.00,-16.00,45.00,171814,0
0,0,-4.00,58.00,7.00,171837,0
0,0,-24.00,24.00,-19.00,171860,0
0,0,40.00,4.00,9.00,171884,0
0,0,2.00,-14.00,-13.00,171907,0
0,0,44.00,-34.00,-17.00,171930,0
0,0,-46.00,8.00,1.00,171953,0
0,0,26.00,14.00,-13.00,171977,0
0,0,8.00,-8.00,17.00,172000,0
0,0,28.00,-8.00,-37.00,172023,0
0,0,-12.00,-46.00,39.00,172046,0
0,0,4.00,42.00,-11.00,172069,0
0,0,-2.00,10.00,37.00,172092,0
0,0,0.00,10.00,-11.00,172115,0
0,0,10.00,10.00,13.00,172139,0
0,0,4.00,6.00,-5.00,172162,0
0,0,4.00,-4.00,-1.00,172185,0
0,0,2.00,-6.00,-7.00,172208,0
0,0,2.00,-24.00,39.00,172232,0
0,0,32.00,-22.00,3.00,172255,0
0,0,-22.00,-14.00,25.00,172278,0
0,0,10.00,-34.00,-13.00,172302,0
0,0,-14.00,38.00,3.00,172325,0
0,0,-4.00,-16.00,-19.00,172349,0
0,0,4.00,22.00,-21.00,172372,0
0,0,-20.00,14.00,-29.00,172395,0
0,0,8.00,6.00,-31.00,172418,0
0,0,8.00,12.00,-17.00,172441,0
0,0,-4.00,20.00,-5.00,172465,0
0,0,-26.00,24.00,-5.00,172488,0
0,0,-120.00,-442.00,-337.00,172511,0
0,0,-138.00,-4.00,-5.00,172534,0
0,0,-194.00,102.00,229.00,172557,0
0,0,96.00,116.00,-69.00,172581,0
0,0,-34.00,128.00,-43.00,172604,0
0,0,12.00,-22.00,19.00,172627,0
0,0,-10.00,-20.00,9.00,172650,0
0,0,32.00,90.00,9.00,172673,0
0,0,-16.00,-52.00,-21.00,172696,0
0,0,2.00,40.00,33.00,172720,0
0,0,22.00,-20.00,-5.00,172743,0
0,0,-10.00,10.00,31.00,172766,0
0,0,8.00,6.00,-61.00,172789,0
0,0,18.00,-8.00,37.00,172812,0
0,0,-24.00,28.00,-41.00,172836,0
0,0,10.00,-14.00,-5.00,172859,0
0,0,6.00,24.00,13.00,172882,0
0,0,6.00,-14.00,-5.00,172905,0
0,0,38.00,10.00,25.00,172928,0
0,0,-8.00,16.00,-41.00,172951,0
0,0,-28.00,-2.00,9.00,172974,0
0,0,-6.00,10.00,-37.00,172997,0
0,0,6.00,2.00,23.00,173020,0
0,0,34.00,-18.00,-23.00,173043,0
0,0,-2.00,14.00,-17.00,173066,0
0,0,-22.00,-8.00,-3.00,173090,0
0,0,-24.00,8.00,-7.00,173113,0
0,0,16.00,2.00,-5.00,173136,0
0,0,16.00,-2.00,-29.00,173159,0
0,0,8.00,-18.00,11.00,173182,0
0.00,0.00,20.00,12.00,9.00,173267,1
0.00,0.00,-46.00,10.00,-5.00,173332,1
0.00,0.00,16.00,2.00,17.00,173398,1
0.00,0.00,-14.00,12.00,17.00,173463,1
0.00,0.00,22.00,-20.00,19.00,173528,1
0.00,0.00,-32.00,24.00,-9.00,173593,1
0.00,0.00,-8.00,10.00,-5.00,173658,1
0.00,0.00,-30.00,28.00,-5.00,173723,1
0.00,0.00,-52.00,10.00,-3.00,173789,1
0.00,0.00,12.00,2.00,1.00,173854,1
0,0,30.00,2.00,13.00,173877,0
0,0,50.00,-6.00,11.00,173900,0
0,0,10.00,14.00,-3.00,173924,0
0,0,-42.00,32.00,-17.00,173947,0
0,0,18.00,4.00,-5.00,173970,0
0,0,2.00,-34.00,-9.00,173993,0
0,0,6.00,24.00,1.00,174017,0
0,0,-4.00,20.00,13.00,174040,0
0,0,-46.00,44.00,-15.00,174063,0
0,0,8.00,22.00,-5.00,174086,0
0,0,2.00,4.00,-5.00,174109,0
0,0,36.00,0.00,-1.00,174133,0
0,0,-2.00,-34.00,3.00,174156,0
0,0,-16.00,42.00,-19.00,174179,0
0,0,6.00,-36.00,7.00,174202,0
0,0,20.00,4.00,-7.00,174225,0
0,0,10.00,12.00,-5.00,174249,0
0,0,56.00,-42.00,5.00,174272,0
0,0,-12.00,48.00,-5.00,174295,0
0,0,-8.00,-10.00,29.00,174318,0
0,0,18.00,6.00,35.00,174341,0
0,0,30.00,-16.00,-27.00,174364,0
0,0,30.00,-32.00,19.00,174387,0
0,0,10.00,58.00,-27.00,174410,0
0,0,6.00,-40.00,-1.00,174433,0
0,0,4.00,-16.00,29.00,174456,0
0,0,18.00,-12.00,-1.00,174479,0
0,0,52.00,-44.00,23.00,174502,0
0,0,-8.00,74.00,-67.00,174525,0
0,0,4.00,44.00,17.00,174548,0
0,0,40.00,20.00,-13.00,174571,0
0,0,12.00,0.00,19.00,174594,0
0,0,30.00,2.00,25.00,174617,0
0,0,12.00,-42.00,-15.00,174640,0
0,0,16.00,4.00,-5.00,174663,0
0,0,-74.00,-22.00,5.00,174686,0
0,0,64.00,16.00,1.00,174709,0
0,0,-32.00,-74.00,1.00,174733,0
0,0,36.00,2.00,-23.00,174756,0
0,0,-4.00,-24.00,7.00,174779,0
0,0,4.00,-10.00,-17.00,174802,0
0,0,-2.00,-40.00,5.00,174826,0
0,0,10.00,-2.00,-25.00,174849,0
0,0,22.00,-80.00,3.00,174872,0
0,0,8.00,-76.00,-9.00,174895,0
0,0,-36.00,-30.00,-11.00,174918,0
0,0,-2.00,-14.00,37.00,174942,0
0,0,-32.00,-42.00,-25.00,174965,0
0,0,-34.00,-52.00,43.00,174989,0
0,0,-22.00,8.00,-35.00,175012,0
0,0,-16.00,-14.00,13.00,175035,0
0,0,-50.00,-12.00,-5.00,175058,0
0,0,-8.00,-4.00,15.00,175081,0
0,0,-28.00,16.00,-19.00,175105,0
0,0,-32.00,-18.00,1.00,175128,0
0,0,-2.00,-22.00,-7.00,175151,0
0,0,-18.00,-24.00,-7.00,175174,0
0,0,-8.00,24.00,47.00,175197,0
0,0,-68.00,74.00,-7.00,175220,0
0,0,-46.00,-20.00,-5.00,175244,0
0,0,-8.00,66.00,-11.00,175267,0
0,0,-26.00,-48.00,15.00,175290,0
0,0,-44.00,-8.00,-1.00,175313,0
0,0,-26.00,150.00,-71.00,175337,0
0,0,-16.00,34.00,11.00,175360,0
0,0,4.00,70.00,1.00,175383,0
0,0,-14.00,48.00,11.00,175406,0
0,0,8.00,72.00,-3.00,175429,0
0,0,-24.00,70.00,5.00,175452,0
0,0,-14.00,84.00,17.00,175475,0
0,0,-14.00,90.00,7.00,175498,0
0,0,58.00,58.00,9.00,175521,0
0,0,42.00,-6.00,-19.00,175545,0
0,0,4.00,68.00,1.00,175568,0
0,0,30.00,38.00,-39.00,175591,0
0,0,0.00,90.00,-27.00,175614,0
0,0,42.00,40.00,-3.00,175637,0
0,0,62.00,8.00,15.00,175660,0
0,0,102.00,-2.00,23.00,175684,0
0,0,40.00,22.00,15.00,175707,0
0,0,22.00,24.00,3.00,175730,0
0,0,86.00,2.00,13.00,175753,0
0,0,20.00,-54.00,9.00,175776,0
0,0,80.00,-92.00,13.00,175799,0
0,0,80.00,-70.00,9.00,175822,0
0,0,52.00,-10.00,59.00,175845,0
0,0,62.00,14.00,-9.00,175868,0
0,0,22.00,-112.00,-23.00,175891,0
0,0,42.00,-104.00,-29.00,175915,0
0,0,12.00,-88.00,33.00,175938,0
0,0,16.00,-60.00,-9.00,175961,0
0,0,-26.00,-108.00,15.00,175984,0
0,0,-12.00,-40.00,-25.00,176008,0
0,0,0.00,-170.00,-7.00,176031,0
0,0,-30.00,-44.00,-23.00,176054,0
0,0,-48.00,-90.00,47.00,176077,0
0,0,-78.00,-2.00,-29.00,176100,0
0,0,-66.00,-42.00,35.00,176123,0
0,0,-50.00,4.00,-25.00,176146,0
0,0,-86.00,-48.00,-1.00,176169,0
0,0,-22.00,-60.00,-81.00,176192,0
0,0,-106.00,-10.00,-1.00,176215,0
0,0,-118.00,4.00,-3.00,176239,0
0,0,-70.00,30.00,-3.00,176262,0
0,0,-70.00,-72.00,-1.00,176285,0
0,0,-66.00,114.00,33.00,176308,0
0,0,-32.00,60.00,1.00,176331,0
0,0,-30.00,138.00,53.00,176355,0
